2023-02-01,R,5,7620.0,434783361.0,0.19980596271337547,0.24546157377263528,1.2284997426465867,59.0,0.12812848648448197
2023-02-01,F,5,7628.0,661281288.0,0.20001573275296955,0.3733333890366501,1.8665201176836295,1.0,0.420396448737624
2023-02-01,M,5,7628.0,743409321.0,0.20001573275296955,0.41969964414049,2.0983331579163433,65316.0,0.451475064777894
2023-02-01,R,4,7710.0,394844910.0,0.20216587565880903,0.22291389620292884,1.1026286977290658,125.0,0.12812848648448197
2023-02-01,F,4,7639.0,439021952.0,0.20030416655741143,0.24785451543223694,1.2373907127947663,1.0,0.420396448737624
2023-02-01,M,4,7633.0,361619474.0,0.20014683902771588,0.2041561226968678,1.020031711160808,39479.0,0.451475064777894
2023-02-01,R,3,7605.0,340406823.0,0.19941264388913654,0.19218029481243856,0.9637317427037435,188.0,0.12812848648448197
2023-02-01,F,3,7616.0,291353025.0,0.19970107769357842,0.16448645108090498,0.8236633120893478,1.0,0.420396448737624
2023-02-01,M,3,7623.0,289990856.0,0.19988462647822325,0.16371742407463852,0.819059609331561,36435.0,0.451475064777894
2023-02-01,R,2,7792.0,319720580.0,0.2043160185646485,0.18050165616687375,0.8834434883516509,228.0,0.12812848648448197
2023-02-01,F,2,7571.0,249811560.0,0.19852112122086163,0.14103377489691263,0.710422014693377,1.0,0.420396448737624
2023-02-01,M,2,7626.0,248797379.0,0.19996329024307102,0.14046120821961905,0.7024349721835316,28529.0,0.451475064777894
2023-02-01,R,1,7410.0,281533226.0,0.19429949917403047,0.15894257904512357,0.8180287634337217,297.0,0.12812848648448197
2023-02-01,F,1,7683.0,129821075.0,0.20145790177517897,0.07329186955329535,0.3638073707085806,1.0,0.420396448737624
2023-02-01,M,1,7627.0,127471870.0,0.1999895114980203,0.0719656008683846,0.3598468756152594,1414.0,0.451475064777894
