2023-02-01,100004207@n,237,1,33733,1,2,2,1.871871513515518
2023-02-01,100007313@n,226,1,31500,2,2,2,2.0
2023-02-01,10020545@n,200,1,39479,2,3,3,2.8718715135155177
2023-02-01,10021075@n,21,1,38700,5,3,3,3.2562569729689637
2023-02-01,100243222@n,239,1,53147,1,4,4,3.615614540546554
2023-02-01,10026056@n,44,1,38700,5,3,3,3.2562569729689637
2023-02-01,100300081@n,146,1,21000,3,1,1,1.2562569729689639
2023-02-01,10030095@n,232,1,36500,1,2,3,2.323346578293412
2023-02-01,100306896@n,174,1,15400,3,1,1,1.2562569729689639
2023-02-01,100421153@n,41,3,92500,5,5,5,5.0
2023-02-01,100452834@n,143,1,66600,3,4,5,4.323346578293412
2023-02-01,100517264@n,157,1,34408,3,2,2,2.128128486484482
2023-02-01,10053939@n,157,1,81400,3,4,5,4.323346578293412
2023-02-01,100645308@n,172,1,38900,3,3,3,3.0
2023-02-01,100675503@n,45,1,40800,5,4,4,4.128128486484481
2023-02-01,100708943@n,206,1,38500,2,3,3,2.8718715135155177
2023-02-01,100730660@n,296,1,17400,1,1,1,1.0
2023-02-01,100734020@n,4,1,38700,5,3,3,3.2562569729689637
2023-02-01,1009483@n,217,1,33100,2,2,2,2.0
2023-02-01,101171490@n,223,1,111500,2,4,5,4.19521809180893
2023-02-01,10132999@n,28,1,13900,5,1,1,1.5125139459379278
2023-02-01,101403585@n,280,1,35093,1,2,2,1.871871513515518
2023-02-01,101612530@n,244,1,15900,1,1,1,1.0
2023-02-01,101671853@n,235,1,38800,1,3,3,2.7437430270310363
2023-02-01,101743829@n,29,1,17400,5,1,1,1.5125139459379278
2023-02-01,101762375@n,55,1,43400,5,4,4,4.128128486484481
2023-02-01,101769535@n,212,1,4500,2,1,1,1.1281284864844818
2023-02-01,101807621@n,10,2,69800,5,5,5,5.0
2023-02-01,10192047@n,121,1,113500,4,4,5,4.451475064777894
2023-02-01,102050831@n,216,1,15400,2,1,1,1.1281284864844818
2023-02-01,10210714@n,254,1,85800,1,4,5,4.067089605324448
2023-02-01,10213597@n,275,1,88600,1,4,5,4.067089605324448
2023-02-01,102142518@n,85,1,49800,4,4,4,4.0
2023-02-01,10214471@n,116,1,38398,4,3,3,3.128128486484482
2023-02-01,102165060@n,106,2,38215,4,5,3,3.9689213839597297
2023-02-01,102188313@n,137,2,71863,3,5,5,4.7437430270310355
2023-02-01,102210757@n,225,1,30900,2,2,2,2.0
2023-02-01,102239796@n,2,1,15400,5,1,1,1.5125139459379278
2023-02-01,102369340@n,31,1,38800,5,3,3,3.2562569729689637
2023-02-01,102468583@n,65,1,8900,4,1,1,1.384385459453446
2023-02-01,102544780@n,40,1,38796,5,3,3,3.2562569729689637
2023-02-01,10263110@n,202,1,19800,2,1,1,1.1281284864844818
2023-02-01,10263837@n,182,1,35793,3,2,2,2.128128486484482
2023-02-01,10265499@n,140,1,13900,3,1,1,1.2562569729689639
2023-02-01,10269050@n,284,1,35400,1,2,2,1.871871513515518
2023-02-01,103118302@n,245,1,34400,1,2,2,1.871871513515518
2023-02-01,103147122@n,274,1,53700,1,4,4,3.615614540546554
2023-02-01,103376515@n,173,1,34178,3,2,2,2.128128486484482
2023-02-01,103380301@n,216,1,40700,2,4,4,3.743743027031036
2023-02-01,10349918@n,217,1,35800,2,2,2,2.0
2023-02-01,103555338@n,191,1,16900,2,1,1,1.1281284864844818
2023-02-01,103841365@n,38,1,16900,5,1,1,1.5125139459379278
2023-02-01,10386109@n,140,1,38500,3,3,3,3.0
2023-02-01,1038841@n,64,1,16293,4,1,1,1.384385459453446
2023-02-01,10392780@n,46,1,30800,5,2,2,2.384385459453446
2023-02-01,104003144@n,90,2,64823,4,5,4,4.420396448737623
2023-02-01,104047598@n,61,2,90500,4,5,5,4.871871513515518
2023-02-01,104091087@n,67,1,35500,4,2,2,2.2562569729689637
2023-02-01,104177386@n,216,1,110655,2,4,5,4.19521809180893
2023-02-01,104222698@n,227,1,46200,2,4,4,3.743743027031036
2023-02-01,10424512@n,149,1,38900,3,3,3,3.0
2023-02-01,10425755@n,1,1,41800,5,4,4,4.128128486484481
2023-02-01,10430778@n,271,1,21000,1,1,1,1.0
2023-02-01,104388339@n,180,1,13900,3,1,1,1.2562569729689639
2023-02-01,104388463@n,138,5,130210,3,5,5,4.7437430270310355
2023-02-01,10439316@n,32,1,26800,5,1,1,1.5125139459379278
2023-02-01,104402782@n,203,2,32800,2,5,2,3.261189346212872
2023-02-01,104470784@n,18,2,68028,5,5,5,5.0
2023-02-01,104520735@n,272,1,37479,1,3,3,2.7437430270310363
2023-02-01,10457767@n,136,4,133509,3,5,5,4.7437430270310355
2023-02-01,10461132@n,193,2,154000,2,5,5,4.615614540546554
2023-02-01,104994063@n,130,2,72693,3,5,5,4.7437430270310355
2023-02-01,105072970@n,109,1,38700,4,3,3,3.128128486484482
2023-02-01,10517017@n,254,1,36500,1,2,3,2.323346578293412
2023-02-01,10520970@n,220,1,30900,2,2,2,2.0
2023-02-01,10530933@n,280,1,43800,1,4,4,3.615614540546554
2023-02-01,10539413@n,114,2,43800,4,5,4,4.420396448737623
2023-02-01,10576007@n,172,1,44300,3,4,4,3.8718715135155177
2023-02-01,10594481@n,229,1,30900,1,2,2,1.871871513515518
2023-02-01,105996170@n,171,1,38700,3,3,3,3.0
2023-02-01,106114803@n,100,2,64100,4,5,4,4.420396448737623
2023-02-01,10639024@n,263,1,14400,1,1,1,1.0
2023-02-01,10640476@n,204,1,29200,2,2,2,2.0
2023-02-01,10640590@n,38,2,77269,5,5,5,5.0
2023-02-01,10653715@n,224,1,160009,2,5,5,4.615614540546554
2023-02-01,10661156@n,127,1,36500,3,2,3,2.579603551262376
2023-02-01,106694931@n,182,2,79600,3,5,5,4.7437430270310355
2023-02-01,1067021@n,159,1,34475,3,2,2,2.128128486484482
2023-02-01,106755939@n,35,2,29800,5,5,2,3.6455748056663175
2023-02-01,106763229@n,286,1,38700,1,3,3,2.7437430270310363
2023-02-01,106798313@n,136,1,35647,3,2,2,2.128128486484482
2023-02-01,107136630@n,236,1,38700,1,3,3,2.7437430270310363
2023-02-01,107176739@n,188,1,33239,3,2,2,2.128128486484482
2023-02-01,107261002@n,49,1,35500,5,2,2,2.384385459453446
2023-02-01,1074305@n,115,2,33300,4,5,2,3.5174463191818357
2023-02-01,107601032@n,223,1,30900,2,2,2,2.0
2023-02-01,107915605@n,188,1,38700,3,3,3,3.0
2023-02-01,1080039@n,199,1,52100,2,4,4,3.743743027031036
2023-02-01,108118968@n,113,1,15400,4,1,1,1.384385459453446
2023-02-01,10814605@n,171,1,37345,3,3,3,3.0
2023-02-01,10817315@n,203,1,31643,2,2,2,2.0
2023-02-01,10826489@n,33,1,41400,5,4,4,4.128128486484481
2023-02-01,108291950@n,21,1,36400,5,2,2,2.384385459453446
2023-02-01,10832841@n,256,1,33574,1,2,2,1.871871513515518
2023-02-01,1085567@n,28,1,113500,5,4,5,4.579603551262376
2023-02-01,108581747@n,221,1,27901,2,1,1,1.1281284864844818
2023-02-01,108599547@n,47,1,28700,5,1,2,1.9639890107158218
2023-02-01,108779015@n,172,1,104500,3,4,5,4.323346578293412
2023-02-01,10879592@n,116,2,78799,4,5,5,4.871871513515518
2023-02-01,10887716@n,116,1,39125,4,3,3,3.128128486484482
2023-02-01,109021891@n,42,1,38200,5,3,3,3.2562569729689637
2023-02-01,109185240@n,281,1,35128,1,2,2,1.871871513515518
2023-02-01,109328480@n,190,2,152876,2,5,5,4.615614540546554
2023-02-01,10934190@n,247,1,35500,1,2,2,1.871871513515518
2023-02-01,109461252@n,241,1,38700,1,3,3,2.7437430270310363
2023-02-01,109562494@n,179,2,31800,3,5,2,3.389317832697354
2023-02-01,109581460@n,264,1,40300,1,4,4,3.615614540546554
2023-02-01,109771552@n,224,1,85700,2,4,5,4.19521809180893
2023-02-01,109794590@n,259,1,15400,1,1,1,1.0
2023-02-01,10986075@n,78,1,47300,4,4,4,4.0
2023-02-01,109882957@n,292,1,29200,1,2,2,1.871871513515518
2023-02-01,109892208@n,230,1,32900,1,2,2,1.871871513515518
2023-02-01,109943787@n,272,1,43139,1,4,4,3.615614540546554
2023-02-01,109999518@n,228,1,57900,2,4,4,3.743743027031036
2023-02-01,11002687@n,266,2,51600,1,5,4,4.036010989284177
2023-02-01,110257048@n,8,1,68600,5,4,5,4.579603551262376
2023-02-01,11027741@n,285,1,20300,1,1,1,1.0
2023-02-01,11030245@n,113,2,34800,4,5,2,3.5174463191818357
2023-02-01,11032535@n,113,1,40700,4,4,4,4.0
2023-02-01,11042265@n,3,1,38900,5,3,3,3.2562569729689637
2023-02-01,11064764@n,101,1,38900,4,3,3,3.128128486484482
