id,R,F,M,r_grade,f_grade,m_grade
20161754@n,67,2,91348.0,3,2,2
20163479@n,51,1,38800.0,3,1,1
2016392598@k,216,1,36000.0,1,1,1
2016798542@k,67,1,30402.0,3,1,1
2016881170@k,152,1,49800.0,2,1,1
2016920639@k,207,1,30349.0,1,1,1
2016921755@k,192,1,37731.0,1,1,1
2016927075@k,32,1,38900.0,4,1,1
2016962681@k,92,1,38900.0,3,1,1
2017000966@k,17,1,23100.0,4,1,1
2017092563@k,204,1,12500.0,1,1,1
2017196548@k,1,2,72911.0,4,2,2
2017430560@k,19,1,9900.0,4,1,1
2017727235@k,126,1,39400.0,2,1,1
20177276@n,210,1,101607.0,1,1,2
2017856893@k,27,3,117464.0,4,3,3
2017896576@k,106,1,46821.0,2,1,1
2017985210@k,90,1,23850.0,3,1,1
2018185624@k,169,1,41900.0,1,1,1
2018257870@k,155,1,17900.0,2,1,1
2018288985@k,7,1,48600.0,4,1,1
2018348343@k,44,3,113722.0,4,3,3
2018540498@k,148,1,10200.0,2,1,1
2018557710@k,60,3,326272.0,3,3,4
2018941909@k,203,1,154000.0,1,1,3
2018947579@k,126,1,37656.0,2,1,1
20191120@n,170,1,37900.0,1,1,1
2019190632@k,217,1,9800.0,1,1,1
2019248753@k,205,1,33000.0,1,1,1
201927523@n,10,1,26800.0,4,1,1
2019377602@k,143,1,40900.0,2,1,1
2019384045@k,67,1,24772.0,3,1,1
2019389178@k,113,1,46900.0,2,1,1
2019495729@k,8,1,41900.0,4,1,1
2019691575@k,23,2,85223.0,4,2,2
2019767544@k,46,1,37089.0,4,1,1
2019793162@k,77,1,31147.0,3,1,1
2019814337@k,202,1,40739.0,1,1,1
2019898923@k,131,1,40592.0,2,1,1
2020103897@k,127,1,37274.0,2,1,1
20201799@n,33,1,57200.0,4,1,2
2020209975@k,189,2,30680.0,1,2,1
2020385905@k,118,1,49100.0,2,1,1
2020598042@k,196,1,10200.0,1,1,1
20207625@n,61,1,30300.0,3,1,1
2020823024@k,176,1,49698.0,1,1,1
2021036601@k,218,1,32269.0,1,1,1
2021095035@k,90,2,64252.0,3,2,2
2021104219@k,141,1,40769.0,2,1,1
2021212418@k,198,1,29076.0,1,1,1
2021232607@k,212,1,17100.0,1,1,1
2021252192@k,71,3,217763.0,3,3,3
2021259470@k,37,1,9900.0,4,1,1
2021280336@k,147,1,38000.0,2,1,1
2021321619@k,120,1,35103.0,2,1,1
2021328824@k,24,1,14900.0,4,1,1
2021460@n,201,1,153000.0,1,1,3
2021726512@k,3,1,23100.0,4,1,1
2021732234@k,24,2,107471.0,4,2,3
2022159592@k,62,1,27697.0,3,1,1
2022186217@k,48,2,73194.0,3,2,2
2022576501@k,43,1,38400.0,4,1,1
2022636074@k,77,1,31300.0,3,1,1
2022711443@k,3,4,134930.0,4,3,3
2022752583@k,13,1,41900.0,4,1,1
2022832733@k,114,1,84500.0,2,1,2
2023072432@g,213,1,229000.0,1,1,3
2023131971@k,162,1,16900.0,1,1,1
2023255099@k,27,1,9900.0,4,1,1
2023350719@k,169,1,36689.0,1,1,1
2023352921@k,58,3,100960.0,3,3,2
2023355690@k,76,1,33400.0,3,1,1
2023358030@k,191,1,180573.0,1,1,3
2023364160@k,7,1,14900.0,4,1,1
2023366066@k,54,1,38327.0,3,1,1
2023393707@k,156,1,40056.0,2,1,1
2023402166@k,76,1,37600.0,3,1,1
2023451059@k,17,2,74700.0,4,2,2
2023472810@k,167,1,41900.0,1,1,1
2023481570@k,90,1,20950.0,3,1,1
2023487801@k,65,2,123065.0,3,2,3
2023488042@k,198,1,39302.0,1,1,1
2023556184@k,150,2,92189.0,2,2,2
2023565023@k,101,1,38900.0,2,1,1
2023589483@k,76,1,33400.0,3,1,1
2023616021@k,0,2,74486.0,4,2,2
2023636225@k,27,1,50520.0,4,1,1
2023649851@k,59,1,108276.0,3,1,3
2023674183@k,218,1,45205.0,1,1,1
2023696806@k,31,1,41900.0,4,1,1
2023780875@k,160,1,30700.0,2,1,1
2023792549@k,44,1,13900.0,4,1,1
2023811517@k,111,1,21000.0,2,1,1
2023847028@k,24,1,48267.0,4,1,1
2023847731@k,76,1,111019.0,3,1,3
2023858954@k,184,1,41900.0,1,1,1
2023899012@k,109,1,114131.0,2,1,3
2023904378@k,60,1,114500.0,3,1,3
2023955849@k,212,1,29792.0,1,1,1
2023985526@k,208,1,110576.0,1,1,3
2023989088@k,88,1,20950.0,3,1,1
2023989152@k,13,2,76463.0,4,2,2
2023998754@k,85,2,67158.0,3,2,2
2024016446@k,10,2,85100.0,4,2,2
2024019128@k,85,1,33050.0,3,1,1
2024021968@k,115,1,47207.0,2,1,1
2024046620@k,211,1,32000.0,1,1,1
2024048967@k,59,1,39479.0,3,1,1
2024049234@k,181,1,36980.0,1,1,1
2024055055@k,155,1,38799.0,2,1,1
2024126058@k,217,1,124436.0,1,1,3
2024129315@k,205,1,34700.0,1,1,1
2024158646@k,211,1,36000.0,1,1,1
2024162261@k,113,1,45626.0,2,1,1
2024166541@k,39,1,39400.0,4,1,1
2024173263@k,158,1,46800.0,2,1,1
2024176289@k,132,1,27499.0,2,1,1
2024177638@k,208,1,115000.0,1,1,3
2024180113@k,93,1,36900.0,3,1,1
2024232080@k,218,1,33714.0,1,1,1
2024242841@k,77,1,35509.0,3,1,1
2024253595@k,120,2,65900.0,2,2,2
2024263603@k,208,1,34929.0,1,1,1
2024385511@k,62,2,66000.0,3,2,2
2024385713@k,104,1,29900.0,2,1,1
2024392126@k,203,1,62200.0,1,1,2
2024426131@k,76,1,144800.0,3,1,3
2024449779@k,151,1,41900.0,2,1,1
2024450325@k,188,1,41900.0,1,1,1
2024465608@k,201,1,59986.0,1,1,2
2024467617@k,173,1,31800.0,1,1,1
2024486109@k,106,1,114500.0,2,1,3
2024497738@k,131,1,15733.0,2,1,1
2024506638@k,47,1,36255.0,3,1,1
2024573342@k,65,1,31503.0,3,1,1
2024611538@k,16,3,125667.0,4,3,3
2024642404@k,217,1,30780.0,1,1,1
2024708350@k,100,2,92100.0,2,2,2
2024770258@k,24,1,50700.0,4,1,1
2024796172@k,59,3,94799.0,3,3,2
2024822758@k,134,1,41000.0,2,1,1
2024831769@k,132,1,29747.0,2,1,1
2024858163@k,205,1,36000.0,1,1,1
2024882667@k,216,1,34200.0,1,1,1
2025104143@k,202,1,46900.0,1,1,1
2025167400@k,47,1,29900.0,3,1,1
2025211900@k,112,1,113186.0,2,1,3
2025344525@k,77,1,30400.0,3,1,1
2025422776@k,85,1,38900.0,3,1,1
2025429202@k,64,1,32605.0,3,1,1
2025444395@k,77,1,168300.0,3,1,3
2025450262@k,177,1,41000.0,1,1,1
2025469432@k,134,1,28796.0,2,1,1
2025475777@k,8,1,17900.0,4,1,1
2025486499@k,218,1,113235.0,1,1,3
2025487819@k,205,1,78036.0,1,1,2
2025516237@k,59,1,66800.0,3,1,2
2025537173@k,217,1,36000.0,1,1,1
2025626691@k,116,1,37000.0,2,1,1
2025679634@k,60,1,28800.0,3,1,1
2025691915@k,67,1,3216.0,3,1,1
2025810536@k,98,1,13900.0,3,1,1
2025825850@k,66,2,199000.0,3,2,3
2025839655@k,67,1,110319.0,3,1,3
2025862000@k,205,1,31306.0,1,1,1
2025889229@k,106,1,35875.0,2,1,1
2025991240@k,165,1,41900.0,1,1,1
2026089851@k,41,1,12529.0,4,1,1
2026124264@k,193,1,41700.0,1,1,1
2026174503@k,170,2,61892.0,1,2,2
2026187229@k,121,1,31821.0,2,1,1
2026304471@k,147,1,108600.0,2,1,3
2026450015@k,129,1,38782.0,2,1,1
2026482273@k,186,1,31769.0,1,1,1
2026553429@k,175,1,13900.0,1,1,1
2026558014@k,216,1,36000.0,1,1,1
2026772266@k,121,3,116396.0,2,3,3
2026778301@k,156,1,106323.0,2,1,3
2026781116@k,85,1,37400.0,3,1,1
2026783571@k,109,1,46691.0,2,1,1
2026799230@k,86,1,20500.0,3,1,1
2026844650@k,198,1,15500.0,1,1,1
2026845609@k,120,1,51235.0,2,1,1
2026846348@k,111,1,37000.0,2,1,1
2026951742@k,169,1,13886.0,1,1,1
2026958055@k,8,1,53000.0,4,1,2
2027005102@k,114,1,9740.0,2,1,1
2027105220@k,39,1,41900.0,4,1,1
2027202147@k,16,1,35866.0,4,1,1
2027282474@k,106,1,11900.0,2,1,1
20277182@n,71,1,32300.0,3,1,1
2027744477@k,16,1,34900.0,4,1,1
2027801385@k,207,1,36000.0,1,1,1
2027954162@k,104,1,40400.0,2,1,1
2028013590@k,205,1,45733.0,1,1,1
2028151994@k,61,1,33400.0,3,1,1
2028244129@k,27,2,75900.0,4,2,2
2028244357@k,67,1,26226.0,3,1,1
2028264133@k,16,1,39900.0,4,1,1
2028289857@k,114,2,258669.0,2,2,4
2028307046@k,74,1,31995.0,3,1,1
2028444382@k,70,2,85019.0,3,2,2
2028464207@k,217,1,36000.0,1,1,1
2028467661@k,65,1,113863.0,3,1,3
2028526286@k,198,1,37782.0,1,1,1
20285287@n,51,3,158322.0,3,3,3
2028576705@k,1,1,36100.0,4,1,1
2028577681@k,64,1,31073.0,3,1,1
2028605209@k,87,1,31403.0,3,1,1
2028676394@k,204,1,44900.0,1,1,1
2028774853@k,72,1,59315.0,3,1,2
2028808929@k,4,2,50837.0,4,2,1
2028898505@k,62,1,27042.0,3,1,1
2028917181@k,156,1,37100.0,2,1,1
2028932684@k,195,1,13900.0,1,1,1
2028964018@k,105,1,40118.0,2,1,1
2029078439@k,64,2,132115.0,3,2,3
2029188658@k,60,1,15700.0,3,1,1
2029571465@k,128,1,41900.0,2,1,1
2029639685@k,106,1,35875.0,2,1,1
2029740636@k,70,1,28061.0,3,1,1
2029769141@k,13,1,17900.0,4,1,1
2030105600@k,190,1,37800.0,1,1,1
2030105673@k,76,1,37000.0,3,1,1
2030172558@k,156,1,27900.0,2,1,1
2030253933@k,66,1,25902.0,3,1,1
2030264762@k,128,1,37328.0,2,1,1
2030275638@k,167,2,107324.0,1,2,3
2030403831@k,53,1,40679.0,3,1,1
2030479152@k,95,1,51216.0,3,1,1
2030526114@k,114,1,48600.0,2,1,1
2030542970@k,67,1,59349.0,3,1,2
2030587848@k,101,1,5706.0,2,1,1
2030652045@k,158,1,79600.0,2,1,2
2030658252@k,160,1,34074.0,2,1,1
2030697379@k,195,1,37371.0,1,1,1
2030721200@k,217,1,33400.0,1,1,1
2030725517@k,26,1,10900.0,4,1,1
2030728754@k,188,1,131061.0,1,1,3
2030741306@k,140,1,32900.0,2,1,1
2030788551@k,121,1,16900.0,2,1,1
2030793323@k,60,1,32179.0,3,1,1
2030803413@k,11,1,41900.0,4,1,1
2030867415@k,132,1,40835.0,2,1,1
2030874293@k,24,2,79356.0,4,2,2
2030897967@k,51,1,39400.0,3,1,1
2030923482@k,92,1,39537.0,3,1,1
2030941486@k,84,1,30633.0,3,1,1
2030946375@k,19,2,75330.0,4,2,2
2030950414@k,31,4,102901.0,4,3,3
2031072908@k,114,1,34936.0,2,1,1
2031134751@k,77,1,37621.0,3,1,1
2031277081@k,104,1,40800.0,2,1,1
2031277744@k,206,1,33433.0,1,1,1
2031354276@k,205,1,36000.0,1,1,1
2031402418@k,113,1,12700.0,2,1,1
2031516106@k,207,1,95428.0,1,1,2
2031524825@k,186,1,50700.0,1,1,1
2031593512@k,37,1,20950.0,4,1,1
2031780144@k,84,1,41900.0,3,1,1
2031788612@k,60,1,31623.0,3,1,1
20318212@n,72,1,75700.0,3,1,2
2031868914@k,53,2,77021.0,3,2,2
2031932195@k,171,1,31800.0,1,1,1
2032056976@k,69,1,28752.0,3,1,1
2032170535@k,118,1,12700.0,2,1,1
20321971@n,171,1,30800.0,1,1,1
2032221693@k,156,1,137000.0,2,1,3
2032269068@k,60,1,15279.0,3,1,1
2032287944@k,210,1,29444.0,1,1,1
2032430002@k,114,1,13900.0,2,1,1
2032478758@k,217,1,34116.0,1,1,1
2032501207@k,99,2,77443.0,3,2,2
2032501233@k,70,1,31356.0,3,1,1
2032520035@k,27,1,66700.0,4,1,2
2032687117@k,58,1,142608.0,3,1,3
2032749077@k,65,1,87700.0,3,1,2
20328216@n,80,1,40400.0,3,1,1
2032839798@k,202,1,32900.0,1,1,1
2032870202@k,63,1,29799.0,3,1,1
2033060957@k,67,1,26300.0,3,1,1
2033097866@k,205,1,36000.0,1,1,1
2033125130@k,209,1,101200.0,1,1,2
2033134630@k,82,1,9950.0,3,1,1
2033150788@k,77,2,127949.0,3,2,3
20331995@n,72,1,25200.0,3,1,1
2033275777@k,163,1,37400.0,1,1,1
2033332500@k,86,1,28300.0,3,1,1
2033348150@k,83,1,39449.0,3,1,1
2033348299@k,83,1,23900.0,3,1,1
2033597788@k,198,1,32300.0,1,1,1
2033627000@k,191,1,33842.0,1,1,1
2033752286@k,32,1,67422.0,4,1,2
2033800964@k,78,1,15782.0,3,1,1
2033806872@k,218,1,34926.0,1,1,1
2033862413@k,60,1,33400.0,3,1,1
2033876440@k,99,1,38900.0,3,1,1
2033900116@k,31,1,50309.0,4,1,1
2033901957@k,215,1,36000.0,1,1,1
2033914526@k,196,1,38900.0,1,1,1
2033993046@k,189,1,48300.0,1,1,1
2034048764@k,114,1,12700.0,2,1,1
2034088595@k,85,2,94221.0,3,2,2
20341462@n,78,1,28965.0,3,1,1
2034230785@k,130,1,38500.0,2,1,1
20343391@n,77,1,31400.0,3,1,1
2034344313@k,67,1,31400.0,3,1,1
2034349946@k,111,2,108000.0,2,2,3
2034422591@k,105,1,41900.0,2,1,1
2034541022@k,178,1,50600.0,1,1,1
2034545647@k,80,1,38900.0,3,1,1
2034890352@k,125,1,152000.0,2,1,3
2034911278@k,58,1,110900.0,3,1,3
2035119190@k,128,1,30300.0,2,1,1
2035138650@k,119,2,50217.0,2,2,1
2035144474@k,57,1,17900.0,3,1,1
2035165006@k,169,1,12439.0,1,1,1
2035237192@k,81,1,74000.0,3,1,2
2035253940@k,20,2,78665.0,4,2,2
203525695@n,55,2,35800.0,3,2,1
2035413173@k,156,1,13400.0,2,1,1
2035451181@k,204,1,50986.0,1,1,1
20355587@n,78,1,40900.0,3,1,1
2035583950@k,205,1,33000.0,1,1,1
2035718836@k,114,1,11419.0,2,1,1
2035825965@k,105,1,39800.0,2,1,1
2035852291@k,65,2,56375.0,3,2,2
2035852721@k,205,1,46600.0,1,1,1
2035879483@k,205,1,63233.0,1,1,2
2035913297@k,86,1,38900.0,3,1,1
20359756@n,189,1,16900.0,1,1,1
2035996559@k,48,1,19729.0,3,1,1
2036126549@k,52,2,76357.0,3,2,2
2036192734@k,208,1,111767.0,1,1,3
2036288386@k,31,2,79300.0,4,2,2
2036326191@k,66,1,104065.0,3,1,3
2036449574@k,77,2,155300.0,3,2,3
2036506757@k,192,1,38900.0,1,1,1
2036650482@k,68,2,67704.0,3,2,2
2036705596@k,74,1,33400.0,3,1,1
2036774205@k,106,1,37000.0,2,1,1
2036787018@k,139,1,38900.0,2,1,1
2036787481@k,30,1,48461.0,4,1,1
2036805900@k,80,1,57186.0,3,1,2
2036828046@k,205,1,46900.0,1,1,1
2036844460@k,113,1,12300.0,2,1,1
2036871354@k,122,2,68005.0,2,2,2
2037012290@k,13,1,38900.0,4,1,1
2037043350@k,70,1,32350.0,3,1,1
2037065556@k,59,1,129400.0,3,1,3
2037088397@k,31,1,38554.0,4,1,1
2037239221@k,50,1,41900.0,3,1,1
2037258457@k,171,1,30303.0,1,1,1
2037291896@k,71,1,40900.0,3,1,1
2037418258@k,155,1,133936.0,2,1,3
2037537006@k,28,1,30900.0,4,1,1
2037684714@k,207,1,34200.0,1,1,1
2037718921@k,42,1,40400.0,4,1,1
2037926916@k,186,1,17900.0,1,1,1
2038108554@k,153,1,40400.0,2,1,1
2038261528@k,77,1,38519.0,3,1,1
2038305642@k,205,1,46900.0,1,1,1
2038369451@k,77,1,30400.0,3,1,1
2038386065@k,218,1,34704.0,1,1,1
2038390616@k,155,1,17300.0,2,1,1
20384719@n,61,1,30500.0,3,1,1
2038494117@k,94,1,38971.0,3,1,1
2038511566@k,188,1,47700.0,1,1,1
2038646062@k,96,1,45382.0,3,1,1
2038838303@k,73,1,30348.0,3,1,1
2038921828@k,205,1,113956.0,1,1,3
2039039611@k,114,1,112500.0,2,1,3
2039220946@k,96,2,59171.0,3,2,2
2039249898@k,188,1,45630.0,1,1,1
20393997@n,140,1,109600.0,2,1,3
2039497474@k,71,1,56100.0,3,1,2
2039534862@k,158,1,91000.0,2,1,2
2039640597@k,141,1,45082.0,2,1,1
2039645728@k,143,1,52800.0,2,1,2
2039753811@k,218,1,43200.0,1,1,1
2039781755@k,119,1,48900.0,2,1,1
2039794911@k,7,1,37900.0,4,1,1
2039837188@k,217,1,35200.0,1,1,1
2039876040@k,127,1,39449.0,2,1,1
2039880218@k,210,1,31684.0,1,1,1
2039968206@k,204,1,39900.0,1,1,1
2039982807@k,47,1,48004.0,3,1,1
2040009697@k,195,1,46719.0,1,1,1
2040029746@k,66,2,78900.0,3,2,2
2040042129@k,214,1,33400.0,1,1,1
2040119547@k,77,1,32326.0,3,1,1
2040191543@k,105,1,7200.0,2,1,1
2040223875@k,77,2,69800.0,3,2,2
2040291246@k,214,1,145034.0,1,1,3
2040333619@k,211,1,111959.0,1,1,3
2040684418@k,140,2,77900.0,2,2,2
2040777432@k,211,1,29390.0,1,1,1
2040781555@k,72,1,15259.0,3,1,1
2040835801@k,40,2,55500.0,4,2,2
204085116@n,111,2,146450.0,2,2,3
2040874176@k,77,1,52915.0,3,1,2
2040913859@k,36,1,14900.0,4,1,1
2041019655@k,140,1,31400.0,2,1,1
2041041994@k,203,1,45703.0,1,1,1
2041175473@k,48,1,37133.0,3,1,1
2041209506@k,51,2,86854.0,3,2,2
2041211085@k,46,1,82800.0,4,1,2
2041233285@k,188,1,40286.0,1,1,1
2041277705@k,144,1,48486.0,2,1,1
2041355238@k,10,3,107501.0,4,3,3
20413967@n,198,1,46300.0,1,1,1
2041490058@k,77,1,77666.0,3,1,2
2041508220@k,66,1,109500.0,3,1,3
2041516155@k,199,1,39386.0,1,1,1
2041639209@k,61,2,124052.0,3,2,3
2041653207@k,205,1,113116.0,1,1,3
2041698332@k,72,2,128320.0,3,2,3
2041740745@k,212,1,106100.0,1,1,3
2041778939@k,75,1,37400.0,3,1,1
2041826560@k,162,1,39616.0,1,1,1
2041858793@k,47,1,16999.0,3,1,1
2041897225@k,201,1,14836.0,1,1,1
2041931151@k,77,1,32300.0,3,1,1
2041960938@k,200,1,46900.0,1,1,1
2042057673@k,218,1,33000.0,1,1,1
2042059147@k,37,1,33279.0,4,1,1
2042138502@k,148,1,70900.0,2,1,2
2042147825@k,61,2,178281.0,3,2,3
2042305791@k,106,1,12700.0,2,1,1
2042331287@k,121,1,38752.0,2,1,1
2042386477@k,103,1,40500.0,2,1,1
2042431390@k,60,1,46100.0,3,1,1
20424739@n,106,1,37000.0,2,1,1
2042535945@k,77,1,54100.0,3,1,2
2042550278@k,164,1,28826.0,1,1,1
2042553904@k,154,1,28169.0,2,1,1
2042676653@k,99,2,70611.0,3,2,2
2042690644@k,74,1,32203.0,3,1,1
2042749706@k,160,1,38100.0,2,1,1
2042794165@k,215,1,62707.0,1,1,2
2042807139@k,92,1,14900.0,3,1,1
20428438@n,77,2,49300.0,3,2,1
2042904790@k,77,1,61800.0,3,1,2
2042905913@k,167,1,35226.0,1,1,1
2042907940@k,204,1,109549.0,1,1,3
2042920557@k,0,2,43500.0,4,2,1
2043007180@k,97,1,7200.0,3,1,1
2043032983@k,205,1,45200.0,1,1,1
2043236934@k,107,1,33700.0,2,1,1
2043342933@k,156,1,31460.0,2,1,1
2043442682@k,0,1,50200.0,4,1,1
20434653@n,211,1,96355.0,1,1,2
2043646654@k,33,1,36432.0,4,1,1
2043674509@k,8,2,62028.0,4,2,2
2043791085@k,0,3,104923.0,4,3,3
2043796748@k,37,1,39972.0,4,1,1
2043870027@k,34,3,44900.0,4,3,1
204387099@n,209,1,32500.0,1,1,1
2043926218@k,203,1,30088.0,1,1,1
2043951091@k,182,1,38192.0,1,1,1
2044033519@k,25,1,27800.0,4,1,1
2044034001@k,218,1,32326.0,1,1,1
2044113182@k,198,1,45718.0,1,1,1
2044171739@k,196,1,41900.0,1,1,1
2044271883@k,107,1,10676.0,2,1,1
2044506650@k,148,1,17900.0,2,1,1
2044646401@k,67,1,45100.0,3,1,1
2044685065@k,107,1,33700.0,2,1,1
2044692004@k,98,1,40160.0,3,1,1
2044737499@k,202,1,150478.0,1,1,3
2044765704@k,67,2,60248.0,3,2,2
20448069@n,77,1,32400.0,3,1,1
20448537@n,116,1,34003.0,2,1,1
20449020@n,70,1,24300.0,3,1,1
2044939087@k,98,1,12793.0,3,1,1
2044945208@k,60,1,32120.0,3,1,1
2045009526@k,168,1,36242.0,1,1,1
2045074249@k,12,1,37242.0,4,1,1
2045283805@k,208,1,27286.0,1,1,1
2045389296@k,127,1,40823.0,2,1,1
2045575895@k,201,1,17900.0,1,1,1
2045825423@k,84,1,38900.0,3,1,1
2045939132@k,94,1,22400.0,3,1,1
2045994680@k,80,1,37592.0,3,1,1
2046073641@k,31,2,69003.0,4,2,2
2046125655@k,62,2,85223.0,3,2,2
2046211631@k,132,1,37900.0,2,1,1
2046219560@k,7,2,70643.0,4,2,2
2046273294@k,3,2,72273.0,4,2,2
2046369115@k,128,1,42798.0,2,1,1
2046693965@k,165,1,151000.0,1,1,3
2047608936@k,114,1,111125.0,2,1,3
2047735887@k,71,1,52924.0,3,1,2
2047876951@k,204,1,12500.0,1,1,1
2048191724@k,77,1,40700.0,3,1,1
2048227384@k,71,1,28662.0,3,1,1
2048853794@k,85,1,41000.0,3,1,1
2048990156@k,126,1,40769.0,2,1,1
2049126048@k,158,1,37868.0,2,1,1
2049446071@k,50,1,50200.0,3,1,1
2049592089@k,76,1,23494.0,3,1,1
2050216942@k,215,1,34923.0,1,1,1
2050280024@k,24,1,13900.0,4,1,1
20504237@n,127,1,41000.0,2,1,1
2050465486@k,71,1,29074.0,3,1,1
2050586376@k,153,1,40400.0,2,1,1
20506126@n,43,1,64300.0,4,1,2
2050789161@k,209,1,52000.0,1,1,2
2051314069@k,136,1,37799.0,2,1,1
2051356194@k,115,1,56437.0,2,1,2
2052472031@k,199,1,21660.0,1,1,1
2052613397@k,211,1,46723.0,1,1,1
2052662159@k,179,1,36989.0,1,1,1
2052705136@k,68,1,31008.0,3,1,1
2052743820@k,205,1,45655.0,1,1,1
2052843623@k,200,1,32900.0,1,1,1
2053112727@k,55,1,37754.0,3,1,1
2053265432@k,121,2,75528.0,2,2,2
2053501075@k,119,1,22600.0,2,1,1
2053710519@k,133,2,68594.0,2,2,2
2053767758@k,93,2,30004.0,3,2,1
2053969108@k,168,1,40739.0,1,1,1
2054003440@k,86,2,75039.0,3,2,2
20540387@n,66,1,32400.0,3,1,1
2054186510@k,7,1,24029.0,4,1,1
2054383426@k,213,1,137029.0,1,1,3
2054484370@k,29,2,72300.0,4,2,2
2054555057@k,98,1,26900.0,3,1,1
2054599005@k,198,1,44300.0,1,1,1
2054779612@k,205,1,47300.0,1,1,1
2054862153@k,35,2,72148.0,4,2,2
2054898660@k,67,1,32900.0,3,1,1
2054904412@k,205,1,113000.0,1,1,3
2055060130@k,165,1,61569.0,1,1,2
2055073405@k,17,2,82700.0,4,2,2
2055299099@k,66,2,54939.0,3,2,2
2055541670@k,112,2,261500.0,2,2,4
2055893816@g,154,1,48800.0,2,1,1
2055958749@k,91,1,26903.0,3,1,1
2056086641@k,75,1,32214.0,3,1,1
2056203712@k,164,1,36800.0,1,1,1
2056349268@k,0,1,23100.0,4,1,1
2056355208@k,73,1,139761.0,3,1,3
2056642124@k,85,3,228800.0,3,3,3
2056692200@k,59,1,33400.0,3,1,1
2056725803@k,205,1,26280.0,1,1,1
2057363490@k,8,2,76539.0,4,2,2
2057583692@k,4,1,23100.0,4,1,1
2057754767@k,50,2,86299.0,3,2,2
2057764@n,51,1,41000.0,3,1,1
2058186914@k,119,1,37000.0,2,1,1
2058226873@k,195,1,31465.0,1,1,1
2058731690@k,217,1,101788.0,1,1,2
20588685@n,195,1,40900.0,1,1,1
2059155466@k,145,1,37835.0,2,1,1
2059252902@k,133,1,41800.0,2,1,1
2059256135@k,205,1,34839.0,1,1,1
20593733@n,135,1,37900.0,2,1,1
205941716@n,115,1,22000.0,2,1,1
20594266@n,34,1,24800.0,4,1,1
2059491250@k,53,2,86713.0,3,2,2
2059936642@k,218,1,34000.0,1,1,1
2059997050@k,167,1,13664.0,1,1,1
2060104011@k,71,1,26800.0,3,1,1
2060183135@k,71,1,27800.0,3,1,1
2060641353@k,211,1,47400.0,1,1,1
2060643528@k,178,1,40739.0,1,1,1
2060647634@k,183,1,16900.0,1,1,1
2060656712@k,216,1,43420.0,1,1,1
2061219081@k,107,2,65156.0,2,2,2
2061249955@k,217,1,30066.0,1,1,1
2061581034@k,44,3,108900.0,4,3,3
2061673486@k,126,1,17900.0,2,1,1
20617281@n,65,1,15500.0,3,1,1
2061842837@k,68,2,26650.0,3,2,1
2061932126@k,191,1,35940.0,1,1,1
2062100993@k,148,1,46064.0,2,1,1
2062160867@k,120,1,31800.0,2,1,1
2062192727@k,21,1,20950.0,4,1,1
2062212@n,183,1,72500.0,1,1,2
206228330@n,163,1,13900.0,1,1,1
2062340170@k,200,1,31769.0,1,1,1
2062571995@k,63,1,25200.0,3,1,1
2062812172@k,205,1,31400.0,1,1,1
2062815038@k,136,1,43761.0,2,1,1
2062822339@k,141,1,34505.0,2,1,1
2062823477@k,111,1,36000.0,2,1,1
2063368345@k,43,1,24900.0,4,1,1
2063417584@k,155,1,32574.0,2,1,1
20634530@n,30,1,40900.0,4,1,1
2063457503@k,67,3,96451.0,3,3,2
2063737866@k,58,1,32000.0,3,1,1
2064494994@k,9,1,17900.0,4,1,1
2064658731@k,61,1,29239.0,3,1,1
2064794464@k,151,1,192206.0,2,1,3
2064843810@k,74,1,30400.0,3,1,1
2064898076@k,217,1,17100.0,1,1,1
2065072384@k,127,1,28900.0,2,1,1
2065180198@k,95,1,37774.0,3,1,1
2065180338@k,7,1,10900.0,4,1,1
2065185934@k,218,1,112881.0,1,1,3
2065374128@k,60,1,32335.0,3,1,1
2065590353@k,90,2,83760.0,3,2,2
2065679725@k,79,3,114573.0,3,3,3
2065894478@k,40,1,29900.0,4,1,1
2066005006@k,94,1,38960.0,3,1,1
2066023110@k,22,1,40186.0,4,1,1
2066083778@k,86,2,118100.0,3,2,3
2066424565@k,73,1,32323.0,3,1,1
2066426959@k,204,1,113722.0,1,1,3
2066436243@k,214,1,102226.0,1,1,2
2066480382@k,106,2,67500.0,2,2,2
206650884@n,63,1,35904.0,3,1,1
2066571072@k,179,1,40739.0,1,1,1
2066591684@k,71,2,66547.0,3,2,2
2066691262@k,31,1,30000.0,4,1,1
2066706103@k,210,1,61570.0,1,1,2
2066738503@k,182,1,47626.0,1,1,1
2066781618@k,16,1,38900.0,4,1,1
2066786821@k,111,1,36700.0,2,1,1
2066810161@k,6,1,40124.0,4,1,1
206689670@n,157,1,15400.0,2,1,1
2066928443@k,61,1,43100.0,3,1,1
2067037396@k,112,1,35869.0,2,1,1
2067268300@k,19,2,62195.0,4,2,2
2067273000@k,157,1,36100.0,2,1,1
2067329881@k,16,1,20500.0,4,1,1
20674829@n,92,1,40900.0,3,1,1
2067633562@k,149,1,37835.0,2,1,1
2067669939@k,53,1,41900.0,3,1,1
2067699327@k,154,1,37400.0,2,1,1
2067814129@k,109,1,13900.0,2,1,1
2067921115@k,212,1,62200.0,1,1,2
2068067838@k,163,1,36900.0,1,1,1
2068426914@k,205,1,65400.0,1,1,2
2068455998@k,157,1,36100.0,2,1,1
2068520119@k,93,1,46032.0,3,1,1
