10004031@n,207,1,32400.000
100094816@n,75,1,28400.000
10017164@n,207,1,34839.000
10019630@n,8,2,70600.000
10020545@n,128,1,41900.000
100213738@n,10,1,15900.000
100248766@n,15,1,33900.000
100257260@n,207,1,114000.000
10026056@n,68,2,28039.000
100407446@n,76,1,56400.000
100409635@n,37,1,38800.000
100421153@n,30,3,114700.000
10044543@n,76,1,49400.000
100505918@n,217,1,35000.000
10053939@n,63,1,46100.000
10073891@n,18,1,12900.000
100837048@n,213,1,34000.000
10084263@n,114,1,70700.000
100859885@n,54,1,39900.000
10086444@n,50,1,39400.000
10107654@n,147,1,70800.000
10115166@n,63,1,40900.000
10116179@n,70,1,31300.000
101174728@n,45,1,40900.000
101227341@n,6,1,29900.000
101294658@n,33,1,36900.000
101375905@n,172,1,60600.000
10140247@n,77,1,31300.000
101464729@n,185,1,17900.000
101506435@n,55,1,39400.000
101638761@n,207,1,32400.000
10169889@n,12,2,71800.000
101727884@n,88,1,31900.000
101743829@n,127,1,41579.000
10180298@n,208,1,35000.000
101807621@n,5,3,115160.000
101910033@n,207,1,34200.000
10202984@n,17,1,34900.000
1020340454@g,144,1,15900.000
102110169@n,199,1,39800.000
102122020@n,7,2,74300.000
1021454803@g,83,1,30800.000
102165060@n,69,4,75891.000
102167627@n,21,1,13900.000
102188313@n,38,2,74529.000
102242878@n,85,1,57200.000
102369340@n,218,1,30236.000
102429750@n,147,1,101400.000
102491096@n,117,1,46900.000
102500152@n,79,1,32800.000
102587136@n,105,1,153000.000
102594008@n,99,1,13900.000
102608604@n,161,1,38100.000
10263837@n,46,1,29300.000
102657701@g,66,1,28400.000
10268713@n,69,1,31400.000
10269050@n,189,1,67738.000
102721416@n,28,2,31200.000
10274023@n,23,3,153636.000
102752249@n,75,1,32400.000
102814364@n,145,1,15900.000
102831432@n,121,1,50600.000
10302390@n,127,1,65700.000
103095265@n,122,2,80700.000
103127011@n,125,1,16900.000
103199338@n,217,1,103600.000
103236345@n,93,1,13900.000
10323711@n,206,1,30400.000
103298102@n,181,1,50300.000
103376515@n,96,1,69875.000
10341732@n,142,1,40000.000
10348836@n,192,1,153000.000
10386109@n,207,1,29918.000
104047598@n,206,1,30124.000
104050752@n,36,1,36900.000
104166985@n,163,1,42300.000
10424512@n,171,1,29800.000
104301039@n,73,1,81800.000
104359341@n,10,1,28800.000
104362025@n,77,1,40700.000
104399380@n,107,1,36900.000
10442784@n,128,2,85100.000
104439612@n,76,1,65500.000
104470784@n,9,1,14900.000
104507096@n,37,1,40400.000
104520735@n,210,1,34876.000
10453333@n,66,1,31700.000
