shop_no,coupon_no,coupon_type,coupon_name,coupon_description,created_date,deleted,is_stopped_issued_coupon,pause_begin_datetime,pause_end_datetime,benefit_text,benefit_type,benefit_price,benefit_percentage,benefit_percentage_round_unit,benefit_percentage_max_price,include_regional_shipping_rate,include_foreign_delivery,coupon_direct_url,issue_type,issue_sub_type,issue_member_join,issue_member_join_recommend,issue_member_join_type,issue_order_amount_type,issue_order_start_date,issue_order_end_date,issue_order_amount_limit,issue_order_amount_min,issue_order_amount_max,issue_order_path,issue_order_type,issue_order_available_product,issue_order_available_category,issue_anniversary_type,issue_anniversary_pre_issue_day,issue_module_type,issue_review_count,issue_review_has_image,issue_quantity_min,issue_quntity_type,issue_max_count,issue_max_count_by_user,issue_count_per_once,issued_count,issue_member_group_no,issue_member_group_name,issue_no_purchase_period,issue_reserved,issue_reserved_date,available_date,available_period_type,available_begin_datetime,available_end_datetime,available_site,available_scope,available_day_from_issued,available_price_type,available_order_price_type,available_min_price,available_amount_type,available_payment_method,available_product,available_product_list,available_category,available_category_list,available_coupon_count_by_order,serial_generate_method,coupon_image_type,coupon_image_path,show_product_detail,use_notification_when_login,send_sms_for_issue,send_email_for_issue
1,6074469464100000554,S,재방문 쿠폰!❤️,90일동안 방문하지 않은 고객 재방문 쿠폰,2022-12-21 12:37:20,F,F,0000-00-00 00:00:00,0000-00-00 00:00:00,"15.0% 할인,절사안함,최대할인금액 0KRW",B,,15.0,0.1,0.00,F,F,/exec/front/newcoupon/IssueDownload?coupon_no=,,,F,F,,,0000-00-00 00:00:00,0000-00-00 00:00:00,,,,,O,U,U,,,,,F,,,100000,,,55,,,,F,0000-00-00 00:00:00,발급일로부터 7일 이내,R,0000-00-00 00:00:00,0000-00-00 00:00:00,"W,M",O,7,O,U,30000.00,I,all,U,,U,,1,M,,,F,F,F,F
1,6074425387500000532,O,제주패스 쿠폰 4000,,2022-12-16 10:11:15,F,F,0000-00-00 00:00:00,0000-00-00 00:00:00,4000KRW 할인,A,4000.00,,,,F,F,/exec/front/newcoupon/IssueDownload?coupon_no=,M,M,F,F,,,0000-00-00 00:00:00,0000-00-00 00:00:00,,,,,O,U,U,,,,,F,,,,,,13,,,,F,0000-00-00 00:00:00,2023-01-01 00:00 ~ 2024-01-01 23:00,F,2023-01-01 00:00:00,2024-01-01 23:00:00,"W,M",O,,O,U,25000.00,I,all,U,,U,,1,,B,,F,F,F,F
1,6074425375200000530,O,제주패스 쿠폰 16000,,2022-12-16 10:10:16,F,F,0000-00-00 00:00:00,0000-00-00 00:00:00,16000KRW 할인,A,16000.00,,,,F,F,/exec/front/newcoupon/IssueDownload?coupon_no=,M,M,F,F,,,0000-00-00 00:00:00,0000-00-00 00:00:00,,,,,O,U,U,,,,,F,,,,,,13,,,,F,0000-00-00 00:00:00,2023-01-01 00:00 ~ 2024-01-01 23:00,F,2023-01-01 00:00:00,2024-01-01 23:00:00,"W,M",O,,O,U,80000.00,I,all,U,,U,,1,,B,,F,F,F,F
1,6074425380500000531,O,제주패스 쿠폰 30000,,2022-12-16 10:10:04,F,F,0000-00-00 00:00:00,0000-00-00 00:00:00,30000KRW 할인,A,30000.00,,,,F,F,/exec/front/newcoupon/IssueDownload?coupon_no=,M,M,F,F,,,0000-00-00 00:00:00,0000-00-00 00:00:00,,,,,O,U,U,,,,,F,,,,,,14,,,,F,0000-00-00 00:00:00,2023-01-01 00:00 ~ 2024-01-01 23:00,F,2023-01-01 00:00:00,2024-01-01 23:00:00,"W,M",O,,O,U,150000.00,I,all,U,,U,,1,,B,,F,F,F,F
1,6074341770300000482,S,카카오톡 신규 회원,,2022-12-06 17:55:03,F,F,0000-00-00 00:00:00,0000-00-00 00:00:00,"5.0% 할인,절사안함,최대할인금액 10000000KRW",B,,5.0,0.1,10000000.00,F,F,/exec/front/newcoupon/IssueDownload?coupon_no=,,,F,F,,,0000-00-00 00:00:00,0000-00-00 00:00:00,,,,,O,U,U,,,,,F,,,100000,,,44,,,,F,0000-00-00 00:00:00,발급일로부터 10일 이내,R,0000-00-00 00:00:00,0000-00-00 00:00:00,"W,M",O,10,U,,,I,all,U,,U,,1,M,,,F,F,F,F
1,6074288706600000447,S,카탈로그 신제품 3만원 이상 15%,카탈로그 신제품라인 15%,2022-11-30 14:31:06,F,F,0000-00-00 00:00:00,0000-00-00 00:00:00,"15.0% 할인,절사안함,최대할인금액 1000000KRW",B,,15.0,0.1,1000000.00,F,F,/exec/front/newcoupon/IssueDownload?coupon_no=,,,F,F,,,0000-00-00 00:00:00,0000-00-00 00:00:00,,,,,O,U,U,,,,,F,,,100000,,,67,,,,F,0000-00-00 00:00:00,발급일로부터 5일 이내,R,0000-00-00 00:00:00,0000-00-00 00:00:00,"W,M",O,5,U,,,E,all,U,,U,,1,M,,,F,F,F,F
1,6074288670900000446,S,카탈로그 10만원 이상 30%,카탈로그 10만원 이상 30%,2022-11-30 14:25:09,F,F,0000-00-00 00:00:00,0000-00-00 00:00:00,"30.0% 할인,절사안함,최대할인금액 10000000KRW",B,,30.0,0.1,10000000.00,F,F,/exec/front/newcoupon/IssueDownload?coupon_no=,,,F,F,,,0000-00-00 00:00:00,0000-00-00 00:00:00,,,,,O,U,U,,,,,F,,,100000,,,52,,,,F,0000-00-00 00:00:00,발급일로부터 5일 이내,R,0000-00-00 00:00:00,0000-00-00 00:00:00,"W,M",O,5,U,,,I,all,U,,U,,1,M,,,F,F,F,F
1,6074288655300000445,S,카탈로그 월경라인 10%,카탈로그 월경라인 쿠폰,2022-11-30 14:22:33,F,F,0000-00-00 00:00:00,0000-00-00 00:00:00,"10.0% 할인,절사안함,최대할인금액 1000000KRW",B,,10.0,0.1,1000000.00,F,F,/exec/front/newcoupon/IssueDownload?coupon_no=,,,F,F,,,0000-00-00 00:00:00,0000-00-00 00:00:00,,,,,O,U,U,,,,,F,,,100000,,,37,,,,F,0000-00-00 00:00:00,발급일로부터 5일 이내,R,0000-00-00 00:00:00,0000-00-00 00:00:00,"W,M",O,5,U,,,I,all,I,239;240;241;244;245;246;247;248;249;250;251;252;253;254;255;256;257;258;259;260;262;263;284;285;470;471,U,,1,M,,,F,F,F,F
1,6074288411600000443,S,카탈로그 젤 10%,카탈로그 4페이지에 있는 젤 파트 쿠폰,2022-11-30 13:49:31,F,F,0000-00-00 00:00:00,0000-00-00 00:00:00,"10.0% 할인,절사안함,최대할인금액 1000000KRW",B,,10.0,0.1,1000000.00,F,F,/exec/front/newcoupon/IssueDownload?coupon_no=,,,F,F,,,0000-00-00 00:00:00,0000-00-00 00:00:00,,,,,O,U,U,,,,,F,,,100000,,,59,,,,F,0000-00-00 00:00:00,발급일로부터 5일 이내,R,0000-00-00 00:00:00,0000-00-00 00:00:00,"W,M",O,5,U,,,I,all,I,242;243;261;281;282;283,U,,1,M,,,F,F,F,F
1,6074288454900000444,S,카탈로그 콘돔 10%,카탈로그 6페이지 10% 쿠폰코드,2022-11-30 13:49:09,F,F,0000-00-00 00:00:00,0000-00-00 00:00:00,"10.0% 할인,절사안함,최대할인금액 1000000KRW",B,,10.0,0.1,1000000.00,F,F,/exec/front/newcoupon/IssueDownload?coupon_no=,,,F,F,,,0000-00-00 00:00:00,0000-00-00 00:00:00,,,,,O,U,U,,,,,F,,,100000,,,74,,,,F,0000-00-00 00:00:00,발급일로부터 5일 이내,R,0000-00-00 00:00:00,0000-00-00 00:00:00,"W,M",P,5,U,,,I,all,I,243;264;265;266;267;268;269;270;271;272;273;274;275;276;277;278;279;280;286;314;315;316,U,,1,M,,,F,F,F,F
