shop_no,product_no,product_code,custom_product_code,product_name,eng_product_name,supply_product_name,internal_product_name,model_name,price_excluding_tax,price,retail_price,supply_price,display,selling,summary_description,adult_certification,made_in_code,product_weight,product_material,created_date,updated_date,sold_out,additional_price,shipping_fee_by_product,shipping_fee_type
1,289,P00000LD,A_GCFW_LQ_200_1,"외음부세정제 액상형(200ml)(+21,500원) [10%할인]",,외음부세정제 액상형(200ml),"외음부세정제 액상형(200ml)(+21,500원) [10%할인]",,19545.00,21500.00,23900.00,0.00,T,T,,F,KR,1.00,,22-07-15 12:18:01,22-07-25 15:36:16,F,0.00,F,M
1,288,P00000LC,A_SL_W2_LVD5_10,"인티밋젤 라벤더 5ml(10P)(+13,500원) [16%할인]",,인티밋젤 라벤더 5ml(10P),"인티밋젤 라벤더 5ml(10P)(+13,500원) [16%할인]",,12273.00,13500.00,16000.00,0.00,T,T,,F,KR,1.00,,22-07-15 12:18:01,22-07-25 15:36:03,F,0.00,F,M
1,287,P00000LB,A_SL_W2_NAT5_10,"인티밋젤 내추럴 5ml(10P)(+13,500원) [16%할인]",,인티밋젤 내추럴 5ml(10P),"인티밋젤 내추럴 5ml(10P)(+13,500원) [16%할인]",,12273.00,13500.00,16000.00,0.00,T,T,,F,KR,1.00,,22-07-15 12:18:01,22-07-25 15:35:53,F,0.00,F,M
1,286,P00000LA,O_SC_R_10_1,이브콘돔 리얼 0.035,,,이브콘돔 리얼 0.035,,13545.00,14900.00,22300.00,0.00,T,T,0.03mm 대 얇기로 더 가깝게,F,KR,1.00,,22-07-14 16:53:45,23-02-23 18:29:00,F,0.00,F,M
1,285,P00000KZ,O_MMP_OV_BLM_1,생리팬티 오버나이트,,,생리팬티 오버나이트,,31900.00,31900.00,33900.00,0.00,T,T,"허리까지 올라오는 방수면, 안심하고 주무세요",F,KR,1.00,,22-07-14 16:34:54,23-02-13 10:29:58,F,0.00,F,M
1,284,P00000KY,O_MSP_SET_016,유기농 순면커버 생리대 3종 3팩,,순면커버 생리대 3종 3팩,순면커버 생리대 3종 3팩,,21000.00,21000.00,22200.00,0.00,F,F,유기농 순면커버 체험팩! 3종 세트,F,KR,1.00,,22-07-14 16:34:54,22-12-08 12:21:35,T,0.00,F,M
1,283,P00000KX,O_SL_W2_LVD130_1,인티밋젤 라벤더(130ml),,,인티밋젤 라벤더(130ml),,21000.00,23100.00,30900.00,0.00,T,T,COSMOS 유기농 원료 96.58% 수용성젤,F,KR,1.00,,22-07-14 16:34:54,23-03-02 14:42:39,F,0.00,F,M
1,282,P00000KW,O_SL_W2_NAT5_30,인티밋젤 휴대용 5ml,,,인티밋젤 휴대용 5ml(30p),,5182.00,5700.00,6400.00,0.00,T,T,작고 간편한 인티밋젤 휴대용 세트,F,KR,1.00,,22-07-14 16:34:54,23-02-13 13:56:27,F,0.00,F,M
1,281,P00000KV,O_SL_W2_NAT130_1,인티밋젤 내추럴(130ml),,,인티밋젤 내추럴(130ml),,21000.00,23100.00,30900.00,0.00,T,T,COSMOS 유기농 원료 96.94% 수용성젤,F,KR,1.00,,22-07-14 16:34:54,23-03-02 14:42:58,F,0.00,F,M
1,280,P00000KU,O_SC_AU_144_1,아그로포레스트리® 이브콘돔 울트라씬(144p),,,아그로포레스트리® 이브콘돔 울트라씬(144p),,135455.00,149000.00,221760.00,0.00,T,T,촉촉한 울트라씬 대용량 할인,F,KR,1.00,,22-07-14 16:34:54,23-02-03 15:42:43,F,0.00,F,M
1,279,P00000KT,O_SC_AU_10_3,아그로포레스트리® 이브콘돔 울트라씬 3팩(30p),,,아그로포레스트리® 이브콘돔 울트라씬 3팩(30p),,36727.00,40400.00,46200.00,0.00,T,T,풍부한 윤활제로 촉촉한 콘돔,F,KR,1.00,,22-07-14 16:34:54,23-02-03 15:42:00,F,0.00,F,M
