keyword,ctr,clkCnt,viewCnt,cpc,ccnt,avgRnk,id,impCnt,salesAmt
PEPE젤,1.93,1,0,528,0,1,nkw-a001-01-000004754766400,52,528
윤활제추천,0,0,0,0,0,1.3,nkw-a001-01-000004754766401,330,0
질마사지,0,0,0,0,0,1,nkw-a001-01-000004754766402,280,0
유기농젤,0,0,0,0,0,1,nkw-a001-01-000004754766403,74,0
질건조윤활제,1,7,0,2125,0,3.6,nkw-a001-01-000004754766404,706,14872
마사지젤추천,0,0,0,0,0,2,nkw-a001-01-000004754766407,458,0
올리브영윤활제,0.48,4,0,1524,0,1.1,nkw-a001-01-000004754766409,841,6094
질건조증윤활제,1.03,5,0,2191,0,4.3,nkw-a001-01-000004754766410,488,10956
LOVEGEL,0.78,1,0,726,0,1.1,nkw-a001-01-000004754766931,129,726
케어허젤,0,0,0,0,0,1,nkw-a001-01-000004754766932,419,0
PEPE,0.61,12,0,986,0,1.2,nkw-a001-01-000004754766933,1996,11836
질윤활,0,0,0,0,0,1.1,nkw-a001-01-000004754772216,39,0
Y존젤,2.29,7,0,1813,0,1,nkw-a001-01-000004754772220,307,12694
젤,0.09,96,0,1405,0,2.1,nkw-a001-01-000004754772223,107702,134860
마사지젤,0.12,2,0,2140,0,7.6,nkw-a001-01-000004754772228,1815,4279
성인젤,5.44,13,0,1091,1,1,nkw-a001-01-000004754772231,239,14179
성인용젤,8.63,10,0,1126,1,1,nkw-a001-01-000004754772234,116,11264
윤활젤,4.75,18,0,1244,1,1,nkw-a001-01-000004754772236,379,22396
아스트로글레이드,0.46,25,0,1285,0,1,nkw-a001-01-000004754772238,5450,32131
여성용젤,3.28,7,0,1889,1,1.1,nkw-a001-01-000004754772240,214,13222
핫젤,1.68,12,0,1164,0,1.1,nkw-a001-01-000004754772242,718,13970
맛사지젤,1.98,7,0,1197,0,1.1,nkw-a001-01-000004754772243,354,8382
섹스젤,3.2,6,0,644,1,1.1,nkw-a001-01-000004754772245,188,3861
퓨어젤,1.37,23,0,1002,0,1,nkw-a001-01-000004754772247,1691,23056
수용성윤활제,0.83,8,0,2129,0,1.6,nkw-a001-01-000004754772249,964,17028
질윤활제,4.13,9,0,2057,0,2.9,nkw-a001-01-000004754772251,218,18513
러브잴,5,8,0,447,0,1,nkw-a001-01-000004754772253,160,3575
러브마사지젤,2.9,4,0,712,0,1,nkw-a001-01-000004754772259,138,2849
수용성마사지젤,0.8,5,0,1164,0,1.2,nkw-a001-01-000004754772263,632,5819
관계젤,0,0,0,0,0,1.1,nkw-a001-01-000004754772265,1057,0
마사지용젤,3.58,1,0,946,0,1,nkw-a001-01-000004754772267,28,946
아쿠아젤,0,0,0,0,0,1.6,nkw-a001-01-000004754772269,959,0
여성질윤활유,0,0,0,0,0,1,nkw-a001-01-000004754772278,53,0
성윤활제,10,7,0,635,0,1,nkw-a001-01-000004754772314,70,4444
러부젤,1.37,2,0,1084,0,1,nkw-a001-01-000004754772316,147,2167
남성윤활제,0,0,0,0,0,1,nkw-a001-01-000004754772318,16,0
PEPEGEL,15.39,2,0,418,0,1,nkw-a001-01-000004754772321,13,836
여성윤활제,5.07,29,0,1720,0,1.1,nkw-a001-01-000004754772325,573,49885
성인마사지젤,0,0,0,0,0,1,nkw-a001-01-000004754772332,14,0
성인용품젤,11.49,17,0,807,1,1,nkw-a001-01-000004765751152,148,13717
천연마사지젤,0,0,0,0,0,1.1,nkw-a001-01-000004765751153,53,0
후레쉬젤,2.23,1,0,1188,0,1.8,nkw-a001-01-000004765751155,45,1188
PEPE,1.33,25,0,724,0,1.1,nkw-a001-01-000004739282868,1892,18095
PEPEGEL,12.5,3,0,400,0,1,nkw-a001-01-000004739282873,24,1199
아쿠아젤,0,0,0,0,0,2.5,nkw-a001-01-000004739282879,1086,0
PEPE젤,7.41,6,0,471,0,1,nkw-a001-01-000004739282881,81,2827
XY젤,2.28,1,0,99,0,1.1,nkw-a001-01-000004739282882,44,99
의료용윤활제,0,0,0,0,0,1.2,nkw-a001-01-000004768797582,124,0
핫젤,4.52,53,0,958,0,1.1,nkw-a001-01-000004768797583,1173,50776
아스트로글레이드,1.38,129,0,851,1,1,nkw-a001-01-000004768797585,9404,109780
성인마사지젤,0,0,0,0,0,1,nkw-a001-01-000004768797586,22,0
사랑젤,4.07,8,0,854,0,1,nkw-a001-01-000004768797587,197,6831
러블젤,4.35,2,0,396,0,1,nkw-a001-01-000004768797588,46,792
윤활제,3.01,163,0,1946,2,1.9,nkw-a001-01-000004768797589,5426,317207
질윤활재,6.05,158,0,847,1,1,nkw-a001-01-000004768797590,2612,133760
부부관계젤,2.99,190,0,1107,2,1,nkw-a001-01-000004768797591,6366,210254
여성젤,4.73,87,0,2034,2,1.3,nkw-a001-01-000004768797592,1840,176957
