nccKeywordId,keyword,customerId,nccAdgroupId,nccCampaignId,userLock,inspectStatus,bidAmt,useGroupBidAmt,delFlag,regTm,editTm,status,statusReason,nccQi
nkw-a001-01-000001450022105,방수팬티,829946,grp-a001-01-000000006462527,cmp-a001-01-000000001106103,False,APPROVED,280,False,False,2018-08-10T07:58:23.000Z,2018-08-13T03:42:01.000Z,ELIGIBLE,ELIGIBLE,{'qiGrade': 4}
nkw-a001-01-000001450035383,초경선물,829946,grp-a001-01-000000006462527,cmp-a001-01-000000001106103,True,APPROVED,740,False,False,2018-08-10T07:59:10.000Z,2021-02-16T09:19:43.000Z,PAUSED,KEYWORD_PAUSED,{'qiGrade': 4}
nkw-a001-01-000001236899514,여성청결제,829946,grp-a001-01-000000006660099,cmp-a001-01-000000000541284,False,APPROVED,750,False,False,2018-04-25T01:04:06.000Z,2019-11-29T08:22:41.000Z,ELIGIBLE,ELIGIBLE,{'qiGrade': 4}
nkw-a001-01-000001236899517,사타구니가려움,829946,grp-a001-01-000000006660099,cmp-a001-01-000000000541284,False,APPROVED,70,False,False,2018-04-25T01:04:06.000Z,2019-11-29T08:22:41.000Z,ELIGIBLE,ELIGIBLE,{'qiGrade': 4}
nkw-a001-01-000001236899519,질가려움증,829946,grp-a001-01-000000006660099,cmp-a001-01-000000000541284,False,APPROVED,70,False,False,2018-04-25T01:04:06.000Z,2019-11-29T08:22:47.000Z,ELIGIBLE,ELIGIBLE,{'qiGrade': 4}
nkw-a001-01-000001236899520,여성청결제추천,829946,grp-a001-01-000000006660099,cmp-a001-01-000000000541284,False,APPROVED,70,False,False,2018-04-25T01:04:06.000Z,2019-11-29T08:22:41.000Z,ELIGIBLE,ELIGIBLE,{'qiGrade': 4}
nkw-a001-01-000001236899522,여성청결제사용법,829946,grp-a001-01-000000006660099,cmp-a001-01-000000000541284,False,APPROVED,70,False,False,2018-04-25T01:04:06.000Z,2019-11-29T08:22:41.000Z,ELIGIBLE,ELIGIBLE,{'qiGrade': 4}
nkw-a001-01-000001236899523,외음부가려움증,829946,grp-a001-01-000000006660099,cmp-a001-01-000000000541284,False,APPROVED,70,False,False,2018-04-25T01:04:06.000Z,2019-11-29T08:22:47.000Z,ELIGIBLE,ELIGIBLE,{'qiGrade': 4}
nkw-a001-01-000001236899524,질세정제,829946,grp-a001-01-000000006660099,cmp-a001-01-000000000541284,False,APPROVED,70,False,False,2018-04-25T01:04:06.000Z,2019-11-29T08:22:47.000Z,ELIGIBLE,ELIGIBLE,{'qiGrade': 4}
nkw-a001-01-000001236899525,천연질세정제,829946,grp-a001-01-000000006660099,cmp-a001-01-000000000541284,False,APPROVED,70,False,False,2018-04-25T01:04:06.000Z,2019-11-29T08:22:51.000Z,ELIGIBLE,ELIGIBLE,{'qiGrade': 4}
nkw-a001-01-000001236899526,여성세정제,829946,grp-a001-01-000000006660099,cmp-a001-01-000000000541284,False,APPROVED,70,False,False,2018-04-25T01:04:06.000Z,2019-11-29T08:22:41.000Z,ELIGIBLE,ELIGIBLE,{'qiGrade': 4}
nkw-a001-01-000001236899527,Y존,829946,grp-a001-01-000000006660099,cmp-a001-01-000000000541284,True,APPROVED,70,False,False,2018-04-25T01:04:06.000Z,2021-02-16T09:18:35.000Z,PAUSED,KEYWORD_PAUSED,{'qiGrade': 4}
nkw-a001-01-000001236899528,회음부가려움,829946,grp-a001-01-000000006660099,cmp-a001-01-000000000541284,False,APPROVED,70,False,False,2018-04-25T01:04:06.000Z,2019-11-29T08:22:51.000Z,ELIGIBLE,ELIGIBLE,{'qiGrade': 4}
nkw-a001-01-000001236899529,질가려움,829946,grp-a001-01-000000006660099,cmp-a001-01-000000000541284,False,APPROVED,70,False,False,2018-04-25T01:04:06.000Z,2019-11-29T08:22:47.000Z,ELIGIBLE,ELIGIBLE,{'qiGrade': 4}
nkw-a001-01-000001236899531,천연여성청결제,829946,grp-a001-01-000000006660099,cmp-a001-01-000000000541284,False,APPROVED,70,False,False,2018-04-25T01:04:06.000Z,2019-11-29T08:22:47.000Z,ELIGIBLE,ELIGIBLE,{'qiGrade': 4}
nkw-a001-01-000001236899533,여성세정제추천,829946,grp-a001-01-000000006660099,cmp-a001-01-000000000541284,False,APPROVED,70,False,False,2018-04-25T01:04:06.000Z,2019-11-29T08:22:41.000Z,ELIGIBLE,ELIGIBLE,{'qiGrade': 4}
nkw-a001-01-000001236899534,생식기냄새,829946,grp-a001-01-000000006660099,cmp-a001-01-000000000541284,False,APPROVED,70,False,False,2018-04-25T01:04:06.000Z,2019-11-29T08:22:41.000Z,ELIGIBLE,ELIGIBLE,{'qiGrade': 4}
nkw-a001-01-000001239743012,외음부세정제,829946,grp-a001-01-000000006660099,cmp-a001-01-000000000541284,False,APPROVED,100,False,False,2018-04-26T03:19:29.000Z,2019-11-29T08:22:47.000Z,ELIGIBLE,ELIGIBLE,{'qiGrade': 5}
nkw-a001-01-000001366771974,산부인과여성청결제,829946,grp-a001-01-000000006660099,cmp-a001-01-000000000541284,False,APPROVED,70,False,False,2018-06-29T07:02:21.000Z,2019-11-29T08:22:41.000Z,ELIGIBLE,ELIGIBLE,{'qiGrade': 4}
nkw-a001-01-000001419181204,이브워시,829946,grp-a001-01-000000006660099,cmp-a001-01-000000000541284,False,APPROVED,70,False,False,2018-07-25T00:12:11.000Z,2019-11-29T08:22:47.000Z,ELIGIBLE,ELIGIBLE,{'qiGrade': 4}
nkw-a001-01-000002047731935,이브여성세정제,829946,grp-a001-01-000000006660099,cmp-a001-01-000000000541284,False,APPROVED,70,True,False,2019-05-30T01:59:34.000Z,2019-11-29T08:22:47.000Z,ELIGIBLE,ELIGIBLE,{'qiGrade': 4}
nkw-a001-01-000002047731936,이브청결제,829946,grp-a001-01-000000006660099,cmp-a001-01-000000000541284,False,APPROVED,70,True,False,2019-05-30T01:59:34.000Z,2019-11-29T08:22:47.000Z,ELIGIBLE,ELIGIBLE,{'qiGrade': 4}
nkw-a001-01-000002047731937,이브여성청결제,829946,grp-a001-01-000000006660099,cmp-a001-01-000000000541284,False,APPROVED,110,False,False,2019-05-30T01:59:34.000Z,2019-11-29T08:22:47.000Z,ELIGIBLE,ELIGIBLE,{'qiGrade': 4}
nkw-a001-01-000002062552003,생리컵,829946,grp-a001-01-000000006660099,cmp-a001-01-000000000541284,False,APPROVED,420,False,False,2019-06-05T00:01:22.000Z,2019-11-29T08:22:41.000Z,ELIGIBLE,ELIGIBLE,{'qiGrade': 5}
nkw-a001-01-000001447102623,기능성위생팬티,829946,grp-a001-01-000000007748671,cmp-a001-01-000000000541284,False,APPROVED,70,False,False,2018-08-09T05:48:42.000Z,2019-06-11T09:04:42.000Z,ELIGIBLE,ELIGIBLE,{'qiGrade': 4}
nkw-a001-01-000001447102627,여성용품,829946,grp-a001-01-000000007748671,cmp-a001-01-000000000541284,False,APPROVED,620,False,False,2018-08-09T05:48:42.000Z,2019-06-11T09:27:39.000Z,ELIGIBLE,ELIGIBLE,{'qiGrade': 4}
nkw-a001-01-000001447102631,오가닉코튼위생팬티,829946,grp-a001-01-000000007748671,cmp-a001-01-000000000541284,False,APPROVED,70,False,False,2018-08-09T05:48:42.000Z,2018-08-10T06:33:02.000Z,ELIGIBLE,ELIGIBLE,{'qiGrade': 4}
nkw-a001-01-000001447102635,유기농면팬티,829946,grp-a001-01-000000007748671,cmp-a001-01-000000000541284,False,APPROVED,140,False,False,2018-08-09T05:48:42.000Z,2019-06-11T09:27:39.000Z,ELIGIBLE,ELIGIBLE,{'qiGrade': 4}
nkw-a001-01-000001447102640,유기농면,829946,grp-a001-01-000000007748671,cmp-a001-01-000000000541284,False,APPROVED,130,False,False,2018-08-09T05:48:42.000Z,2019-06-11T09:27:39.000Z,ELIGIBLE,ELIGIBLE,{'qiGrade': 4}
nkw-a001-01-000001447102645,오가닉코튼,829946,grp-a001-01-000000007748671,cmp-a001-01-000000000541284,False,APPROVED,300,False,False,2018-08-09T05:48:42.000Z,2019-06-11T09:27:39.000Z,ELIGIBLE,ELIGIBLE,{'qiGrade': 4}
nkw-a001-01-000001447102659,노패드,829946,grp-a001-01-000000007748671,cmp-a001-01-000000000541284,False,APPROVED,70,False,False,2018-08-09T05:48:42.000Z,2019-01-04T09:53:22.000Z,ELIGIBLE,ELIGIBLE,{'qiGrade': 4}
nkw-a001-01-000001447102678,분비물흡수,829946,grp-a001-01-000000007748671,cmp-a001-01-000000000541284,False,APPROVED,70,False,False,2018-08-09T05:48:42.000Z,2018-08-10T06:33:02.000Z,ELIGIBLE,ELIGIBLE,{'qiGrade': 4}
nkw-a001-01-000001447102681,샘방지,829946,grp-a001-01-000000007748671,cmp-a001-01-000000000541284,False,APPROVED,190,False,False,2018-08-09T05:48:42.000Z,2019-06-11T09:04:42.000Z,ELIGIBLE,ELIGIBLE,{'qiGrade': 4}
nkw-a001-01-000001449928610,좋은사람들위생팬티,829946,grp-a001-01-000000007748671,cmp-a001-01-000000000541284,False,APPROVED,70,False,False,2018-08-10T07:31:14.000Z,2019-06-11T09:27:39.000Z,ELIGIBLE,ELIGIBLE,{'qiGrade': 4}
nkw-a001-01-000001449937516,방수팬티,829946,grp-a001-01-000000007748671,cmp-a001-01-000000000541284,False,APPROVED,170,False,False,2018-08-10T07:33:02.000Z,2019-06-11T09:04:42.000Z,ELIGIBLE,ELIGIBLE,{'qiGrade': 4}
nkw-a001-01-000001449937519,기능성팬티,829946,grp-a001-01-000000007748671,cmp-a001-01-000000000541284,False,APPROVED,460,False,False,2018-08-10T07:33:02.000Z,2019-06-11T09:04:42.000Z,ELIGIBLE,ELIGIBLE,{'qiGrade': 4}
nkw-a001-01-000001449937520,초경선물,829946,grp-a001-01-000000007748671,cmp-a001-01-000000000541284,True,APPROVED,70,False,False,2018-08-10T07:33:02.000Z,2021-02-16T09:19:43.000Z,PAUSED,KEYWORD_PAUSED,{'qiGrade': 4}
nkw-a001-01-000001449937521,띵스팬티,829946,grp-a001-01-000000007748671,cmp-a001-01-000000000541284,False,APPROVED,300,False,False,2018-08-10T07:33:02.000Z,2019-09-16T09:21:03.000Z,ELIGIBLE,ELIGIBLE,{'qiGrade': 4}
nkw-a001-01-000001449937524,THINX팬티,829946,grp-a001-01-000000007748671,cmp-a001-01-000000000541284,False,APPROVED,190,False,False,2018-08-10T07:33:02.000Z,2019-01-04T10:31:31.000Z,ELIGIBLE,ELIGIBLE,{'qiGrade': 4}
nkw-a001-01-000001463138456,논샘팬티,829946,grp-a001-01-000000007748671,cmp-a001-01-000000000541284,True,PENDING,100,False,False,2018-08-20T06:27:51.000Z,2020-03-06T03:41:02.000Z,PAUSED,KEYWORD_DISAPPROVED,{'qiGrade': 4}
nkw-a001-01-000001463138462,똑생팬티,829946,grp-a001-01-000000007748671,cmp-a001-01-000000000541284,True,PENDING,100,False,False,2018-08-20T06:27:51.000Z,2020-03-18T02:15:24.000Z,PAUSED,KEYWORD_DISAPPROVED,{'qiGrade': 4}
nkw-a001-01-000001662142585,월경팬티,829946,grp-a001-01-000000007748671,cmp-a001-01-000000000541284,False,APPROVED,440,False,False,2018-11-29T06:25:02.000Z,2019-01-04T10:31:31.000Z,ELIGIBLE,ELIGIBLE,{'qiGrade': 4}
nkw-a001-01-000001662142586,요실금팬티,829946,grp-a001-01-000000007748671,cmp-a001-01-000000000541284,False,APPROVED,100,False,False,2018-11-29T06:25:02.000Z,2019-06-11T09:27:39.000Z,ELIGIBLE,ELIGIBLE,{'qiGrade': 4}
nkw-a001-01-000002151102543,팬티생리대,829946,grp-a001-01-000000007748671,cmp-a001-01-000000000541284,False,APPROVED,230,False,False,2019-07-12T02:14:23.000Z,2019-07-12T02:15:17.000Z,ELIGIBLE,ELIGIBLE,{'qiGrade': 4}
nkw-a001-01-000002151102544,입는생리대,829946,grp-a001-01-000000007748671,cmp-a001-01-000000000541284,True,APPROVED,500,False,False,2019-07-12T02:14:23.000Z,2021-02-16T09:22:45.000Z,PAUSED,KEYWORD_PAUSED,{'qiGrade': 5}
nkw-a001-01-000002151102545,생리대팬티,829946,grp-a001-01-000000007748671,cmp-a001-01-000000000541284,False,PENDING,220,False,False,2019-07-12T02:14:23.000Z,2022-08-29T06:54:48.000Z,PAUSED,KEYWORD_DISAPPROVED,{'qiGrade': 5}
nkw-a001-01-000001498452616,생리컵,829946,grp-a001-01-000000008042368,cmp-a001-01-000000000541284,False,APPROVED,960,False,False,2018-09-06T03:36:44.000Z,2020-05-25T05:01:22.000Z,ELIGIBLE,ELIGIBLE,{'qiGrade': 5}
nkw-a001-01-000001757838051,Y존프로텍터,829946,grp-a001-01-000000009218446,cmp-a001-01-000000000541284,True,APPROVED,70,True,False,2019-01-18T08:33:17.000Z,2020-06-16T05:27:22.000Z,PAUSED,KEYWORD_PAUSED,{'qiGrade': 4}
nkw-a001-01-000001757838055,아스트로글레이드후기,829946,grp-a001-01-000000009218446,cmp-a001-01-000000000541284,True,APPROVED,180,False,False,2019-01-18T08:33:17.000Z,2020-06-16T05:30:15.000Z,PAUSED,KEYWORD_PAUSED,{'qiGrade': 4}
nkw-a001-01-000001757838057,커먼데이Y,829946,grp-a001-01-000000009218446,cmp-a001-01-000000000541284,True,APPROVED,70,False,False,2019-01-18T08:33:17.000Z,2020-06-16T05:26:59.000Z,PAUSED,KEYWORD_PAUSED,{'qiGrade': 4}
nkw-a001-01-000001757838058,커먼데이Y프로텍터,829946,grp-a001-01-000000009218446,cmp-a001-01-000000000541284,True,APPROVED,70,False,False,2019-01-18T08:33:17.000Z,2020-06-16T05:27:00.000Z,PAUSED,KEYWORD_PAUSED,{'qiGrade': 4}
nkw-a001-01-000001757844587,ASTROGLIDE,829946,grp-a001-01-000000009218446,cmp-a001-01-000000000541284,True,APPROVED,470,False,False,2019-01-18T08:35:05.000Z,2020-06-16T05:26:27.000Z,PAUSED,KEYWORD_PAUSED,{'qiGrade': 3}
nkw-a001-01-000001757844592,러브오일,829946,grp-a001-01-000000009218446,cmp-a001-01-000000000541284,False,APPROVED,450,False,False,2019-01-18T08:35:05.000Z,2020-07-10T02:39:42.000Z,ELIGIBLE,ELIGIBLE,{'qiGrade': 4}
nkw-a001-01-000001757844601,마사지오일,829946,grp-a001-01-000000009218446,cmp-a001-01-000000000541284,False,APPROVED,850,False,False,2019-01-18T08:35:05.000Z,2019-01-18T08:35:28.000Z,ELIGIBLE,ELIGIBLE,{'qiGrade': 4}
nkw-a001-01-000001757844605,마사지젤추천,829946,grp-a001-01-000000009218446,cmp-a001-01-000000000541284,False,APPROVED,430,False,False,2019-01-18T08:35:05.000Z,2019-01-18T08:35:28.000Z,ELIGIBLE,ELIGIBLE,{'qiGrade': 4}
nkw-a001-01-000001757844607,보습젤,829946,grp-a001-01-000000009218446,cmp-a001-01-000000000541284,False,APPROVED,870,False,False,2019-01-18T08:35:05.000Z,2019-01-18T08:35:28.000Z,ELIGIBLE,ELIGIBLE,{'qiGrade': 4}
nkw-a001-01-000001757844609,성윤활유,829946,grp-a001-01-000000009218446,cmp-a001-01-000000000541284,False,APPROVED,240,False,False,2019-01-18T08:35:05.000Z,2019-01-18T08:35:28.000Z,ELIGIBLE,ELIGIBLE,{'qiGrade': 4}
nkw-a001-01-000001757844611,성윤활제,829946,grp-a001-01-000000009218446,cmp-a001-01-000000000541284,False,APPROVED,350,False,False,2019-01-18T08:35:05.000Z,2020-04-09T02:03:17.000Z,ELIGIBLE,ELIGIBLE,{'qiGrade': 4}
nkw-a001-01-000001757844613,성인오일,829946,grp-a001-01-000000009218446,cmp-a001-01-000000000541284,False,APPROVED,370,False,False,2019-01-18T08:35:05.000Z,2019-01-18T08:35:28.000Z,ELIGIBLE,ELIGIBLE,{'qiGrade': 4}
nkw-a001-01-000001757844615,수용성윤활제,829946,grp-a001-01-000000009218446,cmp-a001-01-000000000541284,False,APPROVED,960,False,False,2019-01-18T08:35:05.000Z,2019-01-18T08:35:28.000Z,ELIGIBLE,ELIGIBLE,{'qiGrade': 4}
nkw-a001-01-000001757844617,수용성젤,829946,grp-a001-01-000000009218446,cmp-a001-01-000000000541284,False,APPROVED,630,False,False,2019-01-18T08:35:05.000Z,2019-01-18T08:35:28.000Z,ELIGIBLE,ELIGIBLE,{'qiGrade': 5}
nkw-a001-01-000001757844619,여성보습제,829946,grp-a001-01-000000009218446,cmp-a001-01-000000000541284,False,APPROVED,360,False,False,2019-01-18T08:35:05.000Z,2020-05-15T05:46:31.000Z,ELIGIBLE,ELIGIBLE,{'qiGrade': 4}
nkw-a001-01-000001757844623,여성용젤,829946,grp-a001-01-000000009218446,cmp-a001-01-000000000541284,True,APPROVED,810,False,False,2019-01-18T08:35:05.000Z,2020-04-09T02:02:29.000Z,PAUSED,KEYWORD_PAUSED,{'qiGrade': 4}
nkw-a001-01-000001757844629,윤활제,829946,grp-a001-01-000000009218446,cmp-a001-01-000000000541284,False,APPROVED,890,False,False,2019-01-18T08:35:05.000Z,2020-05-15T05:40:08.000Z,ELIGIBLE,ELIGIBLE,{'qiGrade': 4}
nkw-a001-01-000001757844631,윤활제추천,829946,grp-a001-01-000000009218446,cmp-a001-01-000000000541284,False,APPROVED,840,False,False,2019-01-18T08:35:05.000Z,2019-01-18T08:35:28.000Z,ELIGIBLE,ELIGIBLE,{'qiGrade': 4}
nkw-a001-01-000001757844633,윤활젤,829946,grp-a001-01-000000009218446,cmp-a001-01-000000000541284,False,APPROVED,540,False,False,2019-01-18T08:35:05.000Z,2020-03-30T03:17:33.000Z,ELIGIBLE,ELIGIBLE,{'qiGrade': 5}
nkw-a001-01-000001757844635,젤,829946,grp-a001-01-000000009218446,cmp-a001-01-000000000541284,False,APPROVED,520,False,False,2019-01-18T08:35:05.000Z,2020-08-03T07:44:52.000Z,ELIGIBLE,ELIGIBLE,{'qiGrade': 6}
nkw-a001-01-000001757844637,질건조증윤활제,829946,grp-a001-01-000000009218446,cmp-a001-01-000000000541284,False,APPROVED,820,False,False,2019-01-18T08:35:05.000Z,2020-05-15T05:40:08.000Z,ELIGIBLE,ELIGIBLE,{'qiGrade': 4}
nkw-a001-01-000001757844639,질보습제,829946,grp-a001-01-000000009218446,cmp-a001-01-000000000541284,False,APPROVED,650,False,False,2019-01-18T08:35:05.000Z,2020-05-15T05:40:08.000Z,ELIGIBLE,ELIGIBLE,{'qiGrade': 4}
nkw-a001-01-000001999961416,바디슬리밍젤,829946,grp-a001-01-000000009218446,cmp-a001-01-000000000541284,True,APPROVED,500,False,False,2019-05-09T06:20:33.000Z,2021-02-16T09:04:47.000Z,PAUSED,KEYWORD_PAUSED,{'qiGrade': 4}
nkw-a001-01-000001999961417,바디슬리밍,829946,grp-a001-01-000000009218446,cmp-a001-01-000000000541284,True,APPROVED,300,False,False,2019-05-09T06:20:33.000Z,2021-02-16T09:05:28.000Z,PAUSED,KEYWORD_PAUSED,{'qiGrade': 4}
nkw-a001-01-000002000014454,유기농젤,829946,grp-a001-01-000000009218446,cmp-a001-01-000000000541284,False,APPROVED,680,False,False,2019-05-09T06:37:30.000Z,2019-05-09T06:38:28.000Z,ELIGIBLE,ELIGIBLE,{'qiGrade': 5}
nkw-a001-01-000002000019959,퍼스널젤,829946,grp-a001-01-000000009218446,cmp-a001-01-000000000541284,False,APPROVED,200,False,False,2019-05-09T06:37:54.000Z,2019-05-10T02:51:43.000Z,ELIGIBLE,ELIGIBLE,{'qiGrade': 4}
nkw-a001-01-000002058910152,러브젤추천,829946,grp-a001-01-000000009218446,cmp-a001-01-000000000541284,True,PENDING,1070,False,False,2019-06-04T00:53:50.000Z,2020-03-23T02:48:08.000Z,PAUSED,KEYWORD_DISAPPROVED,{'qiGrade': 5}
nkw-a001-01-000002058910153,러브젤파는곳,829946,grp-a001-01-000000009218446,cmp-a001-01-000000000541284,True,PENDING,960,False,False,2019-06-04T00:53:50.000Z,2020-03-23T02:48:09.000Z,PAUSED,KEYWORD_DISAPPROVED,{'qiGrade': 4}
nkw-a001-01-000002058922152,러브마사지젤,829946,grp-a001-01-000000009218446,cmp-a001-01-000000000541284,True,PENDING,560,False,False,2019-06-04T00:58:09.000Z,2020-03-30T03:16:29.000Z,PAUSED,KEYWORD_DISAPPROVED,{'qiGrade': 4}
nkw-a001-01-000002151081162,유기농마사지젤,829946,grp-a001-01-000000009218446,cmp-a001-01-000000000541284,False,APPROVED,250,False,False,2019-07-12T02:11:25.000Z,2019-07-12T02:11:53.000Z,ELIGIBLE,ELIGIBLE,{'qiGrade': 4}
nkw-a001-01-000002174768261,알로에마사지젤,829946,grp-a001-01-000000009218446,cmp-a001-01-000000000541284,False,APPROVED,300,False,False,2019-07-23T01:03:57.000Z,2020-04-09T02:06:42.000Z,ELIGIBLE,ELIGIBLE,{'qiGrade': 4}
nkw-a001-01-000002830386814,여성젤,829946,grp-a001-01-000000009218446,cmp-a001-01-000000000541284,True,APPROVED,300,False,False,2020-04-09T02:13:36.000Z,2021-03-09T04:02:03.000Z,PAUSED,KEYWORD_PAUSED,{'qiGrade': 4}
