,3,4,5
RS,0.6151065353673387,0.583727785464354,0.5894518449343623
FS,0.9718354802797745,0.9836511292275759,0.9942877106673693
MS,0.6911423817501342,0.6563932823686105,0.6534500230495761
RC,166350.19992171464,195460.85807034982,254817.1225147302
FC,132015.52241789576,227667.32509487128,323476.21116381645
MC,61057.021797680405,64656.94201246579,71966.77207095658
RD,0.4750244511465948,0.4920718771627648,0.4861237705764426
FD,0.39513548879213706,0.366750711393243,0.38346760202023555
MD,0.5522471243830279,0.5370577116323106,0.5041986992507939
