100004207@n,335,1,33733.000
100007313@n,324,1,31500.000
10004031@n,86,1,32400.000
10017164@n,86,1,34839.000
10019630@n,12,1,42800.000
10020545@n,7,2,81379.000
10021075@n,119,1,38700.000
100243222@n,337,1,53147.000
100257260@n,86,1,114000.000
10026056@n,142,1,38700.000
100300081@n,244,1,21000.000
10030095@n,330,1,36500.000
100306896@n,272,1,15400.000
100421153@n,27,4,130400.000
100452834@n,241,1,66600.000
100505918@n,96,1,35000.000
100517264@n,255,1,34408.000
10053939@n,255,1,81400.000
100645308@n,270,1,38900.000
100675503@n,143,1,40800.000
100708943@n,304,1,38500.000
100734020@n,102,1,38700.000
100837048@n,92,1,34000.000
1009483@n,315,1,33100.000
10107654@n,26,1,70800.000
101171490@n,321,1,111500.000
10132999@n,126,1,13900.000
101375905@n,51,1,60600.000
101464729@n,64,1,17900.000
101612530@n,342,1,15900.000
101638761@n,86,1,32400.000
101671853@n,333,1,38800.000
101743829@n,6,2,58979.000
101762375@n,153,1,43400.000
101769535@n,310,1,4500.000
10180298@n,87,1,35000.000
101807621@n,34,3,113990.000
101910033@n,86,1,34200.000
10192047@n,219,1,113500.000
1020340454@g,23,1,15900.000
102050831@n,314,1,15400.000
10210714@n,352,1,85800.000
102110169@n,78,1,39800.000
102142518@n,183,1,49800.000
10214471@n,214,1,38398.000
102165060@n,6,4,88215.000
102188313@n,62,2,75747.000
102210757@n,323,1,30900.000
102239796@n,100,1,15400.000
102369340@n,97,2,69036.000
102429750@n,26,1,101400.000
102468583@n,163,1,8900.000
102544780@n,138,1,38796.000
102608604@n,40,1,38100.000
10263110@n,300,1,19800.000
10263837@n,280,1,35793.000
10265499@n,238,1,13900.000
10269050@n,68,1,67738.000
102721416@n,36,1,16300.000
102814364@n,24,1,15900.000
102831432@n,0,1,50600.000
10302390@n,6,1,65700.000
103095265@n,1,2,80700.000
103118302@n,343,1,34400.000
103127011@n,4,1,16900.000
103199338@n,96,1,103600.000
10323711@n,85,1,30400.000
103298102@n,60,1,50300.000
103376515@n,271,1,34178.000
103380301@n,314,1,40700.000
10341732@n,21,1,40000.000
10348836@n,71,1,153000.000
10349918@n,315,1,35800.000
103555338@n,289,1,16900.000
103841365@n,136,1,16900.000
10386109@n,86,2,68418.000
1038841@n,162,1,16293.000
10392780@n,144,1,30800.000
104003144@n,188,2,64823.000
104047598@n,85,3,120624.000
104091087@n,165,1,35500.000
104166985@n,42,1,42300.000
104177386@n,314,1,110655.000
104222698@n,325,1,46200.000
10424512@n,50,2,68700.000
10425755@n,99,1,41800.000
104388339@n,278,1,13900.000
104388463@n,236,4,114810.000
10439316@n,130,1,26800.000
104402782@n,301,2,32800.000
10442784@n,7,2,85100.000
104470784@n,116,2,68028.000
104520735@n,89,1,34876.000
10457767@n,234,3,98170.000
10461132@n,291,2,154000.000
10474157@n,42,2,57800.000
10482953@n,60,1,40900.000
104994063@n,228,2,72693.000
105072970@n,207,1,38700.000
10517017@n,352,1,36500.000
10520970@n,318,1,30900.000
10539413@n,212,2,43800.000
10558153@n,70,1,41000.000
10569049@n,46,1,12900.000
10576007@n,270,1,44300.000
10580710@n,97,1,31400.000
10594481@n,327,1,30900.000
105996170@n,269,1,38700.000
