date,RFM,grade,count,sales,fraction,sales_contr,contr_eff,min,weight
2023-03-01,R,1,5161.0,248197412.0,0.2359853680841335,0.2289194662097625,0.9700578814197842,161.0,0.011103002301240979
2023-03-01,R,2,5484.0,260100850.0,0.2507544581618656,0.2398983424642055,0.9567061906805568,100.0,0.011103002301240979
2023-03-01,R,3,6400.0,321510554.0,0.2926383173296754,0.296538242721423,1.0133267762996125,47.0,0.011103002301240979
2023-03-01,R,4,4825.0,254403969.0,0.22062185642432555,0.23464394860460902,1.0635571307736371,0.0,0.011103002301240979
2023-03-01,F,1,18702.0,794056275.0,0.8551440329218107,0.732380475480189,0.8564410757540227,1.0,0.33953344131027835
2023-03-01,F,2,2569.0,211284307.0,0.117466849565615,0.19487346941772135,1.658965658297223,2.0,0.33953344131027835
2023-03-01,F,3,547.0,68552348.0,0.02501143118427069,0.06322776206701898,2.527954582094525,3.0,0.33953344131027835
2023-03-01,F,4,52.0,10319855.0,0.002377686328303612,0.009518293035070602,4.003174397634501,5.0,0.33953344131027835
2023-03-01,M,1,15960.0,525573142.0,0.7297668038408779,0.4847509172288537,0.6642545463530721,0.0,0.6493635563884806
2023-03-01,M,2,3937.0,279576598.0,0.1800182898948331,0.2578613735863666,1.4324176378800708,51977.0,0.6493635563884806
2023-03-01,M,3,1905.0,256105834.0,0.08710562414266118,0.23621362664525303,2.711806831880149,102788.0,0.6493635563884806
2023-03-01,M,4,68.0,22957211.0,0.003109282121627801,0.021174082539526594,6.809958604991862,237800.0,0.6493635563884806
