date,RFM,grade,count,sales,fraction,sales_contr,contr_eff,min,weight
2023-03-02,R,1,4020.0,184376382.0,0.20270270270270271,0.19366882161053864,0.9554328532786572,149.0,0.012233396100263012
2023-03-02,R,2,4931.0,225897653.0,0.2486385639370714,0.23728273538362607,0.9543279675781935,96.0,0.012233396100263012
2023-03-02,R,3,6122.0,298402896.0,0.30869302137958854,0.31344219149224933,1.0153847666896911,46.0,0.012233396100263012
2023-03-02,R,4,4759.0,243341987.0,0.23996571198063735,0.255606251513586,1.0651782265218404,0.0,0.012233396100263012
2023-03-02,F,1,17148.0,710432913.0,0.8646631706333199,0.7462382307407047,0.8630392227693992,1.0,0.3331730572572825
2023-03-02,F,2,2202.0,180158833.0,0.11103267446551028,0.18923871111561252,1.7043515526089137,2.0,0.3331730572572825
2023-03-02,F,3,443.0,53689970.0,0.022337636143606295,0.05639590661999849,2.524703431349458,3.0,0.3331730572572825
2023-03-02,F,4,39.0,7737202.0,0.0019665187575635336,0.008127151523684322,4.1327607440437815,5.0,0.3331730572572825
2023-03-02,M,1,14685.0,480963250.0,0.7404699475594998,0.5052034585724482,0.6822740885535439,0.0,0.6545935466424545
2023-03-02,M,2,3648.0,255371341.0,0.18394513916901978,0.2682418764707783,1.4582710784453057,51344.0,0.6545935466424545
2023-03-02,M,3,1450.0,198800916.0,0.07311415893505446,0.20882034195038968,2.8560862217656053,103628.0,0.6545935466424545
2023-03-02,M,4,49.0,16883411.0,0.002470754336425978,0.017734323006383786,7.177695793114352,245022.0,0.6545935466424545
